Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,03321.073840,B6,992,0.47832,16,62,23.10844
,,03321.735920,B6,304,0.17696,15,20.266667,12.714646
,,03319.739520,A6,1992,3.00352,16,124.5,62.258533
,,03322.057200,B6,388,1.5976,16,24.25,22.675703
,,03323.028640,B5,191,1.6384,8,23.875,30.762955
,,03325.264400,B6,1232,1.53416,16,77,53.193043
,,03328.552320,A6,60,0.50776,15,4,6.044281
,,03327.689840,B6,2853,1.57432,16,178.3125,64.732834
,,03327.694960,C6,364,1.80648,14,26,82.662827
,,03334.266640,B2,53,0.0244,16,3.3125,1.043956
,,03333.975680,C2,86,0.30352,16,5.375,9.739577
,,03334.217440,A2,1012,0.77944,16,63.25,7.798237
,,03334.423120,B2,2022,0.82528,16,126.375,36.706394
,,03334.408080,C2,1824,0.7908,16,114,39.212563
,,03334.419440,D2,1734,0.7852,16,108.375,27.451946
,,03322.453760,D4,1050,13.32632,6,175,355.711029
,,03336.263120,B5,642,0.5596,16,40.125,10.711413
,,03336.249920,C5,653,0.62296,16,40.8125,16.549995
,,03336.262720,D5,647,0.47968,16,40.4375,5.841326
,,03337.793360,D5,392,0.24568,16,24.5,13.587678
,,03337.727280,C5,471,0.55672,16,29.4375,22.748541
,,03337.758240,B5,563,1.06416,16,35.1875,40.260433
,,03336.488720,A5,4345,2.45184,16,271.5625,71.983475
,,03360.088000,A2,921,1.15592,14,65.785714,68.653564
,,03366.428000,C1,50,0.28648,10,5,3.898718
,,03367.636880,A2,966,1.09728,15,64.4,81.042213
,,03370.149360,A2,113,0.70416,10,11.3,24.972183
,,03373.640560,C1,517,1.9288,10,51.7,133.214905
,,03388.624800,A2,68,0.198,7,9.714286,15.681785
,,03391.720080,C1,63,0.3208,10,6.3,4.879549
,,03407.114160,C1,136,0.93672,9,15.111111,37.822521
,,03407.909840,A5,1590,3.93208,16,99.375,156.354111
,,03421.872400,C1,212,0.45384,13,16.307692,25.46909
,,03424.010880,B5,142,0.77096,9,15.777778,18.286472
,,03479.275440,C3,95,0.56912,6,15.833333,10.930335
