Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
,,00011.368480,B6_41,0.013
,,00011.380320,B6_23,0.067
,,00011.403920,D4_44,0.034
,,00011.409440,B6_41,0.014
,,00011.417760,B6_23,0.046
,,00011.428640,D4_21,0.04
,,00011.430320,B3_44,0.068
,,00011.439040,B6_41,0.015
,,00011.445520,D3_43,0.038
,,00011.490080,A1_43,0.054
,,00011.494240,B6_23,0.062
,,00011.527600,B6_41,0.021
,,00011.564880,B6_21,0.041
,,00011.566880,C3_43,0.061
,,00011.571520,C3_12,0.165
,,00011.578560,C3_43,0.035
,,00011.578880,C3_12,0.061
,,00011.581360,C3_12,0.057
,,00011.584880,C3_43,0.291
,,00011.586320,C3_24,0.378
,,00011.587840,C3_14,0.056
,,00011.587840,C3_43,0.041
,,00011.588800,C3_24,0.019
,,00011.591360,C3_14,0.077
,,00011.592720,C3_12,0.138
,,00011.594240,C3_14,0.108
,,00011.594960,C3_43,0.033
,,00011.597280,C3_43,0.047
,,00011.597680,C3_24,0.335
,,00011.597760,C3_14,0.044
,,00011.598560,C3_12,0.145
,,00011.600240,C3_24,0.025
,,00011.600320,C3_14,0.09
,,00011.601920,C3_43,0.279
,,00011.602320,B6_41,0.017
,,00011.602560,C3_12,0.094
,,00011.604160,C3_14,0.079
,,00011.604480,C3_24,0.05
,,00011.604560,C3_43,0.02
,,00011.606480,C3_14,0.063
,,00011.607920,C3_24,0.295
,,00011.609360,C3_14,0.037
,,00011.610240,C3_24,0.036
,,00011.612320,C3_14,0.027
,,00011.618800,C3_22,0.293
,,00011.619600,C3_12,0.08
,,00011.619680,A2_44,0.059
,,00011.621280,C3_22,0.023
,,00011.629840,C3_14,0.055
,,00011.634800,C3_12,0.092
,,00011.638640,C3_12,0.039
,,00011.643040,C3_22,0.235
,,00011.645280,C3_22,0.026
,,00011.664400,B6_41,0.018
,,00011.705200,C3_22,0.225
,,00011.707600,C3_22,0.027
,,00011.734480,B6_41,0.024
,,00011.766720,A4_41,0.013
,,00011.776080,C3_22,0.173
,,00011.839760,C3_22,0.229
,,00011.842160,C3_22,0.021
,,00011.877360,B2_32,0.034
,,00011.893280,B6_41,0.02
,,00011.894720,A4_23,0.056
,,00011.901520,B6_41,0.013
,,00011.902400,A5_43,0.022
,,00011.905040,A5_13,0.079
,,00011.919840,C3_22,0.211
,,00011.922240,C3_22,0.028
,,00011.923040,A5_13,0.058
,,00011.951200,B2_32,0.033
,,00011.985920,C3_22,0.185
,,00011.988320,C3_22,0.038
,,00012.058800,C3_22,0.177
,,00012.061200,C3_22,0.034
,,00012.159040,C3_22,0.179
,,00012.161440,C3_22,0.031
,,00012.183760,A2_44,0.059
,,00012.200320,A1_43,0.057
,,00012.479600,B2_32,0.03
,,00012.495280,B5_22,0.035
,,00012.534960,B2_32,0.036
,,00012.547280,A1_43,0.051
,,00012.627200,A2_44,0.057
,,00012.818320,B2_32,0.035
,,00012.949040,B2_32,0.03
,,00012.997920,B6_41,0.021
,,00013.033680,B6_41,0.022
,,00013.048160,B2_32,0.03
,,00013.069920,A1_43,0.056
,,00013.154080,A1_43,0.05
,,00013.327520,B5_22,0.039
,,00013.588560,A2_44,0.07
,,00013.601600,B2_32,0.038
,,00013.895200,A1_43,0.058
,,00013.911680,D2_34,0.07
,,00013.921840,B2_32,0.031
,,00013.927120,A1_43,0.047
,,00013.931920,A1_22,0.047
,,00013.934000,A1_41,0.015
,,00013.946000,D2_21,0.037
,,00013.957440,A1_41,0.023
,,00013.960160,A1_41,0.018
,,00013.962080,A1_43,0.051
,,00013.963440,A1_22,0.042
,,00013.970000,A1_41,0.019
,,00013.974400,A1_41,0.011
,,00013.977040,A1_41,0.014
,,00013.978560,A1_22,0.028
,,00013.982480,A1_41,0.031
,,00013.986400,A1_22,0.032
,,00013.992000,A1_43,0.036
,,00013.992400,B3_22,0.159
,,00013.992960,A1_41,0.019
,,00013.994400,A1_12,0.039
,,00014.000960,A1_41,0.021
,,00014.003200,A1_41,0.019
,,00014.006560,A1_41,0.013
,,00014.012880,A1_41,0.018
,,00014.016960,A1_41,0.02
,,00014.022080,A1_12,0.05
,,00014.025520,D2_21,0.088
,,00014.029120,A1_41,0.019
,,00014.032640,A1_44,0.049
,,00014.037680,D2_21,0.073
,,00014.044880,A1_41,0.017
,,00014.058720,A2_44,0.066
,,00014.067760,A1_41,0.018
,,00014.085120,D2_34,0.054
,,00014.085920,A1_41,0.02
,,00014.101520,D2_21,0.045
,,00014.150320,D5_33,0.052
,,00014.187760,D2_34,0.066
,,00014.263760,A2_44,0.054
,,00014.271360,B6_21,0.036
,,00014.298400,B6_23,0.076
,,00014.423760,B2_32,0.038
,,00014.429200,A1_41,0.014
,,00014.449520,B3_44,0.059
,,00014.520480,C6_22,0.034
,,00014.649840,B6_23,0.051
,,00014.707920,A1_43,0.049
,,00014.808160,A1_43,0.046
,,00014.828000,A2_44,0.057
,,00014.887360,B2_32,0.028
,,00015.080320,A1_44,0.05
,,00015.084720,D1_42,0.051
,,00015.150800,B6_23,0.063
,,00015.153920,D1_42,0.035
,,00015.198560,A1_41,0.014
,,00015.204960,D1_42,0.039
,,00015.216160,A1_43,0.123
,,00015.239120,D1_42,0.034
,,00015.305600,A1_44,0.049
,,00015.337600,A1_44,0.057
,,00015.382560,A1_44,0.044
,,00015.384800,A1_43,0.133
,,00015.391280,B3_22,0.17
,,00015.396080,A1_44,0.039
,,00015.398960,A1_43,0.126
,,00015.444000,A2_44,0.065
,,00015.520800,B2_32,0.034
,,00015.634000,B2_32,0.033
,,00015.656880,B6_23,0.054
,,00015.773280,B6_23,0.054
,,00015.847040,C3_22,0.286
,,00015.849440,C3_22,0.039
,,00015.885680,A1_44,0.048
,,00015.961600,A1_44,0.052
,,00015.962960,A1_43,0.147
,,00016.020800,A2_44,0.051
,,00016.028400,A1_44,0.047
,,00016.032400,B3_22,0.144
,,00016.043920,A1_44,0.037
,,00016.044960,A1_43,0.142
,,00016.046320,B3_22,0.161
,,00016.073920,A1_44,0.043
,,00016.075520,A1_43,0.131
,,00016.095280,A1_12,0.049
,,00016.123040,A1_44,0.053
,,00016.125440,A1_43,0.131
,,00016.129840,A1_41,0.014
,,00016.139760,A1_44,0.045
,,00016.160160,B6_23,0.048
,,00016.164480,A1_43,0.037
,,00016.180480,A1_44,0.043
,,00016.182160,A1_43,0.114
,,00016.188240,A1_12,0.122
,,00016.192080,A1_41,0.026
,,00016.200160,A1_43,0.114
,,00016.204000,A1_41,0.013
,,00016.206160,A1_12,0.108
,,00016.206320,A1_44,0.04
,,00016.218880,A1_43,0.083
,,00016.227040,A1_41,0.029
,,00016.227840,A1_12,0.098
,,00016.228640,A1_44,0.046
,,00016.230480,A1_41,0.019
,,00016.231200,A1_43,0.082
,,00016.243200,A1_41,0.017
,,00016.250240,A1_12,0.099
,,00016.255120,A1_43,0.111
,,00016.258560,A1_43,0.033
,,00016.259600,A1_41,0.017
,,00016.280000,A1_43,0.082
,,00016.281200,A1_12,0.067
,,00016.286320,A1_43,0.057
,,00016.293200,A1_12,0.046
,,00016.302080,A1_43,0.077
,,00016.329360,A1_44,0.037
,,00016.329600,A1_43,0.072
,,00016.351440,A1_12,0.051
,,00016.364720,A1_43,0.076
,,00016.365200,B2_32,0.037
,,00016.366480,B3_22,0.148
,,00016.369840,D2_21,0.034
,,00016.375280,A1_44,0.041
,,00016.377840,A1_41,0.019
,,00016.392320,D2_21,0.038
,,00016.410080,A1_44,0.044
,,00016.412640,A1_43,0.092
,,00016.425440,A1_44,0.043
,,00016.442240,A1_43,0.056
,,00016.455680,A1_44,0.035
,,00016.457760,A1_43,0.078
,,00016.458240,B6_23,0.061
,,00016.514240,A1_44,0.053
,,00016.518000,A1_43,0.089
,,00016.528160,A5_13,0.077
,,00016.554240,B2_32,0.034
,,00016.566880,A5_43,0.029
,,00016.576880,A5_13,0.059
,,00016.629840,D2_21,0.073
,,00016.664560,C3_22,0.267
,,00016.666880,C3_22,0.018
,,00016.690480,A1_44,0.042
,,00016.712320,B6_21,0.043
,,00016.733680,B6_23,0.064
,,00016.736000,A1_44,0.046
,,00016.736800,B6_23,0.083
,,00016.739200,B6_23,0.055
,,00016.780880,B6_41,0.021
,,00016.785920,A1_44,0.041
,,00016.788240,A1_43,0.133
,,00016.796320,B6_23,0.049
,,00016.801200,A2_44,0.059
,,00016.887840,B6_41,0.019
,,00016.896800,A1_12,0.042
,,00016.903120,B6_23,0.055
,,00016.914000,D2_32,0.039
,,00016.914400,D2_23,0.026
,,00016.922240,D2_31,0.056
,,00016.922640,C3_22,0.255
,,00016.923200,D2_23,0.066
,,00016.924880,C3_22,0.034
,,00016.929520,D2_23,0.052
,,00016.933040,D2_23,0.062
,,00016.934640,D2_31,0.073
,,00016.935920,D2_23,0.062
,,00016.946000,D2_23,0.052
,,00016.948240,D2_31,0.033
,,00016.948800,D2_23,0.053
