Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00005.845040,B5_42,0.018
,,00005.845600,C1_31,0.032
,,00005.848480,B5_31,0.099
,,00005.851360,B5_31,0.017
,,00005.864160,A4_33,0.019
,,00005.874640,B1_23,0.057
,,00005.885120,A1_23,0.038
,,00005.891120,B2_31,0.104
,,00005.894160,A1_23,0.069
,,00005.957280,C1_31,0.032
,,00005.978240,A3_42,0.029
,,00005.981360,A3_41,0.014
,,00005.982880,A3_42,0.029
,,00005.990480,A3_31,0.05
,,00006.005040,A3_24,0.068
,,00006.022400,B5_22,0.029
,,00006.030080,B5_24,0.066
,,00006.042560,B5_24,0.054
,,00006.044560,C1_31,0.032
,,00006.084640,B5_42,0.042
,,00006.108080,B5_42,0.192
,,00006.111360,B5_42,0.015
,,00006.113440,A3_31,0.051
,,00006.133840,C1_21,0.024
,,00006.140240,B1_23,0.02
,,00006.148960,C2_13,0.024
,,00006.166000,C1_22,0.102
,,00006.184640,B2_24,0.136
,,00006.186880,B2_24,0.078
,,00006.188400,B5_24,0.037
,,00006.199040,B5_31,0.105
,,00006.201840,B5_31,0.018
,,00006.222000,A1_23,0.085
,,00006.228640,C1_31,0.028
,,00006.235600,B2_31,0.057
,,00006.243600,A1_24,0.034
,,00006.246640,B2_31,0.048
,,00006.262000,B2_21,0.039
,,00006.266320,B1_13,0.037
,,00006.267200,B5_42,0.162
,,00006.270880,B5_42,0.018
,,00006.272800,B2_31,0.037
,,00006.273040,B2_21,0.046
,,00006.323920,B2_21,0.035
,,00006.335040,A1_12,0.028
,,00006.340080,B5_42,0.039
,,00006.357520,A3_24,0.034
,,00006.362400,C1_31,0.029
,,00006.366880,A3_24,0.065
,,00006.376560,B1_23,0.072
,,00006.384720,B2_24,0.026
,,00006.387360,B5_24,0.064
,,00006.396080,B2_24,0.067
,,00006.406880,B2_24,0.042
,,00006.409280,B2_24,0.032
,,00006.414720,A1_23,0.041
,,00006.414720,B2_21,0.055
,,00006.421120,A1_23,0.075
,,00006.430320,A3_24,0.053
,,00006.442080,B5_31,0.122
,,00006.449760,C1_31,0.034
,,00006.486080,A3_31,0.049
