Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00910.787600,B1_23,0.05
,,00910.799760,C1_31,0.033
,,00910.802400,A3_31,0.054
,,00910.817120,C1_31,0.031
,,00910.837360,A1_12,0.027
,,00910.840000,C2_43,0.024
,,00910.852960,A1_13,0.049
,,00910.911280,B1_13,0.035
,,00910.936800,B2_21,0.046
,,00910.955760,B5_24,0.07
,,00910.976080,B5_42,0.034
,,00910.977200,B2_21,0.036
,,00911.034080,C2_13,0.02
,,00911.049280,C1_31,0.027
,,00911.053920,B1_23,0.076
,,00911.069040,B1_23,0.032
,,00911.069120,B2_31,0.049
,,00911.071520,A1_23,0.033
,,00911.076000,A1_23,0.075
,,00911.076720,B2_31,0.036
,,00911.078880,A1_23,0.025
,,00911.095280,A1_23,0.069
,,00911.110320,A3_24,0.061
,,00911.153360,C2_32,0.031
,,00911.157600,B5_42,0.195
,,00911.160720,C2_22,0.027
,,00911.161200,B5_42,0.018
,,00911.163520,C2_22,0.245
,,00911.166400,C2_22,0.033
,,00911.170400,B1_23,0.024
,,00911.170720,A1_12,0.028
,,00911.183360,B1_23,0.077
,,00911.192000,A3_24,0.048
,,00911.195520,B2_12,0.064
,,00911.202000,C1_31,0.032
,,00911.203440,B2_24,0.058
,,00911.205760,B2_24,0.06
,,00911.223440,C1_11,0.024
,,00911.225520,B2_24,0.039
,,00911.235360,C2_13,0.031
,,00911.236800,C2_22,0.037
,,00911.237040,B2_31,0.057
,,00911.239760,C2_22,0.035
,,00911.251360,C2_41,0.02
,,00911.254800,B2_24,0.056
,,00911.256160,C2_34,0.047
,,00911.261360,B2_21,0.041
,,00911.264000,B2_21,0.04
,,00911.268560,B2_21,0.021
,,00911.272640,A1_24,0.028
,,00911.273520,B2_21,0.033
,,00911.274320,B2_31,0.126
,,00911.277120,B2_31,0.03
,,00911.280480,B2_31,0.056
,,00911.281360,B2_41,0.021
,,00911.282960,B2_31,0.156
,,00911.283760,B2_41,0.026
,,00911.287200,B2_31,0.037
,,00911.287440,B2_24,0.063
,,00911.293600,B2_21,0.021
,,00911.295840,B5_42,0.027
,,00911.298880,B2_31,0.061
,,00911.300640,B1_23,0.072
,,00911.302880,B2_31,0.037
,,00911.305360,B2_21,0.04
,,00911.305440,B2_31,0.095
,,00911.307520,B2_12,0.033
,,00911.307760,B2_21,0.028
,,00911.308640,B2_31,0.108
,,00911.308800,B2_24,0.05
,,00911.312000,B2_21,0.023
,,00911.313520,B2_12,0.036
,,00911.318320,B2_12,0.057
,,00911.321440,B2_24,0.048
,,00911.325200,B2_24,0.039
,,00911.328560,B2_24,0.09
,,00911.331040,B2_24,0.146
,,00911.334400,B2_24,0.067
,,00911.336800,B2_24,0.078
,,00911.337760,B2_31,0.029
,,00911.340480,B2_24,0.095
,,00911.343120,B2_24,0.08
,,00911.348000,B2_31,0.106
,,00911.361680,B2_31,0.096
,,00911.368080,B2_21,0.046
,,00911.368800,C1_31,0.03
,,00911.370880,B2_21,0.043
,,00911.372800,B2_31,0.032
,,00911.408960,A3_24,0.078
,,00911.412560,A3_24,0.033
,,00911.447840,A3_24,0.032
,,00911.448960,A1_23,0.035
,,00911.454400,A1_23,0.076
,,00911.457440,C1_31,0.027
,,00911.459200,A1_23,0.037
,,00911.474800,A3_31,0.071
,,00911.479680,B5_24,0.075
,,00911.487520,B1_23,0.051
,,00911.526640,A1_12,0.028
,,00911.603680,B1_23,0.084
,,00911.620320,B5_42,0.035
,,00911.634240,C1_31,0.034
,,00911.637600,B1_23,0.059
,,00911.671760,B1_13,0.036
,,00911.694400,C1_11,0.027
,,00911.701360,B1_23,0.044
,,00911.726000,A1_23,0.038
,,00911.732160,A1_23,0.073
,,00911.743120,A3_31,0.054
,,00911.752480,C1_22,0.117
,,00911.759440,A3_41,0.02
,,00911.760160,A3_31,0.054
,,00911.762960,A3_31,0.033
,,00911.764240,A3_42,0.066
,,00911.767200,A3_42,0.061
,,00911.769920,A3_24,0.077
,,00911.771440,B5_42,0.218
,,00911.772000,A3_41,0.02
,,00911.773360,A3_24,0.055
,,00911.774400,A3_31,0.098
,,00911.774640,B5_42,0.022
,,00911.776560,A3_41,0.032
,,00911.777040,A3_31,0.034
,,00911.777280,A3_24,0.042
,,00911.778160,A3_42,0.059
,,00911.779520,A3_31,0.104
,,00911.779680,A3_41,0.025
,,00911.779760,A3_24,0.084
,,00911.780560,A3_42,0.026
,,00911.782720,A3_31,0.028
,,00911.783360,A3_24,0.038
,,00911.785200,A3_42,0.031
,,00911.787200,A3_41,0.026
,,00911.788560,A3_24,0.024
,,00911.790720,A3_42,0.055
,,00911.791200,C1_31,0.033
,,00911.791600,A3_31,0.029
,,00911.792080,A3_41,0.025
,,00911.792160,B2_21,0.04
,,00911.792240,A3_24,0.047
,,00911.794000,A3_31,0.061
,,00911.794080,A3_42,0.04
,,00911.794560,A3_41,0.025
,,00911.794800,A3_24,0.072
,,00911.796320,A3_31,0.089
,,00911.796560,A3_42,0.067
,,00911.799120,A3_31,0.031
,,00911.801440,A3_42,0.052
,,00911.801840,A3_21,0.036
,,00911.802320,A3_24,0.043
,,00911.804560,A3_31,0.088
,,00911.805600,A3_24,0.027
,,00911.805840,A3_42,0.13
,,00911.806240,A3_33,0.031
,,00911.806880,A3_31,0.051
,,00911.808880,A3_42,0.057
,,00911.809120,A3_41,0.047
,,00911.810480,A3_24,0.04
,,00911.811120,A3_31,0.065
,,00911.811520,A3_41,0.06
,,00911.811920,A3_42,0.04
,,00911.813040,A3_24,0.045
,,00911.813360,A3_31,0.064
,,00911.815680,A3_31,0.029
,,00911.815840,A3_42,0.033
,,00911.816560,A3_21,0.034
,,00911.817040,A3_24,0.034
,,00911.817520,A3_41,0.022
,,00911.818400,A3_31,0.023
,,00911.818560,A3_42,0.06
,,00911.819600,A3_24,0.041
,,00911.820320,A3_41,0.021
,,00911.821360,A3_42,0.036
,,00911.821920,A3_24,0.061
,,00911.822160,A3_31,0.059
,,00911.824400,A3_31,0.049
,,00911.824640,A3_42,0.041
,,00911.825520,A3_24,0.044
,,00911.826960,A3_41,0.022
,,00911.827840,A3_42,0.028
,,00911.829040,A3_31,0.042
,,00911.829280,A3_24,0.029
,,00911.829840,A3_41,0.024
,,00911.831840,A3_42,0.034
,,00911.832080,A3_24,0.028
,,00911.833440,A3_21,0.035
,,00911.834160,A3_42,0.037
,,00911.836480,A3_31,0.045
,,00911.836720,A3_41,0.038
,,00911.837360,A3_42,0.12
,,00911.838720,A3_31,0.031
,,00911.839760,A3_24,0.047
,,00911.841120,A3_42,0.044
,,00911.841440,A3_41,0.022
,,00911.842880,A3_24,0.025
,,00911.843520,A3_31,0.037
,,00911.845600,A3_24,0.038
,,00911.849280,A3_31,0.039
,,00911.849440,A3_42,0.029
,,00911.852240,A3_42,0.024
,,00911.856240,A3_31,0.048
,,00911.865040,B1_13,0.023
,,00911.874560,B1_23,0.077
,,00911.935280,C1_31,0.034
,,00911.941760,B1_23,0.05
,,00911.956400,B2_21,0.042
,,00912.033840,A1_12,0.03
,,00912.038320,B1_13,0.029
,,00912.043280,B1_13,0.159
,,00912.045120,B5_24,0.077
,,00912.046400,B1_13,0.052
,,00912.049520,B1_13,0.08
,,00912.052000,B1_13,0.089
,,00912.052880,B1_23,0.067
,,00912.054320,B1_13,0.077
,,00912.057600,B1_13,0.033
,,00912.057760,B1_11,0.047
,,00912.062320,B1_23,0.029
,,00912.091600,A1_23,0.035
,,00912.091760,C1_31,0.033
,,00912.096800,A1_23,0.087
,,00912.103280,A1_23,0.105
,,00912.104080,B2_31,0.051
,,00912.109600,A1_24,0.029
,,00912.145440,B2_31,0.033
,,00912.182160,B1_23,0.05
,,00912.185600,B2_12,0.03
,,00912.196960,C1_31,0.032
,,00912.198560,B4_11,0.021
,,00912.213680,B2_21,0.048
,,00912.269120,B5_42,0.197
,,00912.272960,B5_42,0.022
,,00912.278080,B2_21,0.037
,,00912.290000,C1_31,0.036
,,00912.304000,A3_24,0.068
,,00912.312480,B1_23,0.082
,,00912.312640,B5_24,0.077
,,00912.342000,A3_24,0.049
,,00912.386560,A3_24,0.046
,,00912.396960,B1_23,0.054
,,00912.410720,A3_31,0.058
,,00912.413840,A1_24,0.032
,,00912.439920,C1_31,0.032
,,00912.448240,B4_23,0.028
,,00912.454720,A1_24,0.087
,,00912.464640,B5_31,0.101
,,00912.475360,B2_21,0.038
,,00912.501440,A3_31,0.029
,,00912.557520,A3_24,0.048
,,00912.559760,C1_31,0.032
,,00912.566480,B1_13,0.038
,,00912.577680,C2_43,0.022
,,00912.579520,A1_24,0.029
,,00912.646080,B5_24,0.074
,,00912.693920,B1_23,0.084
,,00912.697360,C1_31,0.028
,,00912.715520,C1_11,0.023
,,00912.770160,A3_31,0.026
,,00912.784240,B2_31,0.048
,,00912.791920,B2_31,0.036
,,00912.795760,B2_21,0.035
,,00912.812240,B1_23,0.06
,,00912.819200,B1_23,0.033
,,00912.824080,A3_31,0.051
,,00912.827520,A3_24,0.055
,,00912.843280,B2_31,0.045
,,00912.845840,B5_42,0.026
,,00912.845840,C1_31,0.027
,,00912.904480,C1_11,0.02
,,00912.915120,B1_23,0.054
,,00912.915360,A3_24,0.051
,,00912.925520,B5_24,0.072
,,00912.946880,A3_24,0.041
,,00912.958160,A1_13,0.051
,,00912.982560,C1_11,0.02
,,00912.996000,B1_13,0.031
,,00913.001760,C1_31,0.03
,,00913.014320,B1_23,0.081
,,00913.017200,A1_23,0.029
,,00913.017760,B1_23,0.019
,,00913.072720,B5_42,0.194
,,00913.076080,B5_42,0.018
,,00913.113120,B2_21,0.05
,,00913.139520,A1_12,0.03
,,00913.148640,B2_21,0.036
,,00913.152160,C1_31,0.03
,,00913.193360,A3_31,0.021
,,00913.206720,A3_24,0.055
,,00913.225280,B2_24,0.035
,,00913.238400,B5_24,0.073
,,00913.247520,B1_23,0.079
,,00913.250720,B1_23,0.017
,,00913.253840,B5_24,0.066
,,00913.257520,B1_13,0.036
,,00913.272480,A1_24,0.026
,,00913.273200,B1_23,0.06
,,00913.282960,A1_24,0.033
,,00913.287600,C1_22,0.116
,,00913.318480,C1_31,0.027
,,00913.321520,C1_11,0.026
,,00913.356880,B1_23,0.056
,,00913.359040,B5_42,0.034
,,00913.363360,B1_23,0.05
,,00913.382480,B2_21,0.036
,,00913.406000,A3_31,0.027
,,00913.416880,C1_22,0.106
,,00913.425040,C1_31,0.034
,,00913.476000,A1_23,0.1
,,00913.478400,A3_24,0.062
,,00913.491680,B1_13,0.037
,,00913.495520,A3_31,0.072
,,00913.523920,B1_23,0.053
,,00913.532080,A3_24,0.047
,,00913.535360,B5_24,0.035
,,00913.545280,A3_41,0.023
,,00913.562800,A3_24,0.029
,,00913.591760,C1_31,0.03
,,00913.606480,A3_24,0.041
,,00913.614560,A3_31,0.072
,,00913.617040,C1_11,0.022
,,00913.621440,A3_31,0.036
,,00913.630800,A3_24,0.057
,,00913.648720,A3_24,0.026
,,00913.666000,B1_13,0.203
,,00913.668240,B1_13,0.025
,,00913.670880,A1_12,0.031
,,00913.674160,B1_23,0.064
,,00913.702480,A3_24,0.071
,,00913.705760,A1_23,0.027
,,00913.708480,B1_23,0.081
,,00913.710960,A3_24,0.058
,,00913.720560,A3_24,0.045
,,00913.730000,A3_24,0.043
,,00913.742720,A3_24,0.047
,,00913.746000,A3_24,0.064
,,00913.748880,B2_21,0.038
,,00913.756560,A3_24,0.049
,,00913.761200,A3_31,0.075
,,00913.766640,C1_31,0.029
,,00913.767840,A3_24,0.044
,,00913.767840,B2_31,0.052
,,00913.779680,A3_24,0.038
,,00913.783280,A1_24,0.031
,,00913.783920,B2_31,0.034
,,00913.792640,A3_24,0.042
,,00913.796480,A3_24,0.054
,,00913.801840,A1_24,0.022
,,00913.808000,A3_24,0.045
,,00913.822800,A1_23,0.032
,,00913.824080,A3_24,0.044
,,00913.827680,B2_31,0.046
,,00913.829440,B5_24,0.073
,,00913.840720,A3_24,0.041
,,00913.845200,A1_23,0.058
,,00913.859200,A3_24,0.042
,,00913.875280,B1_23,0.053
,,00913.882720,A3_24,0.049
,,00913.884960,A3_24,0.04
,,00913.886800,A1_23,0.103
,,00913.901600,B5_42,0.03
,,00913.914000,C1_31,0.035
,,00913.924080,B1_23,0.058
,,00913.950320,B2_12,0.244
,,00913.952720,B2_12,0.018
,,00913.962320,B2_21,0.041
,,00913.963520,B2_24,0.097
,,00913.996480,C1_22,0.108
,,00914.004320,A4_32,0.043
,,00914.015200,C1_11,0.021
,,00914.017840,B1_23,0.034
,,00914.021760,A4_32,0.031
,,00914.023920,A3_31,0.061
,,00914.025600,C1_31,0.023
,,00914.088960,B2_21,0.038
,,00914.089520,A1_23,0.102
,,00914.116960,B1_23,0.085
,,00914.152080,C1_31,0.032
,,00914.156400,A1_23,0.035
,,00914.157680,C1_11,0.018
,,00914.160080,A1_24,0.024
,,00914.160800,A1_23,0.081
,,00914.223600,B4_23,0.035
,,00914.227120,A3_24,0.059
,,00914.228960,B1_23,0.05
,,00914.235040,A1_24,0.03
,,00914.235120,B1_13,0.038
,,00914.247360,B4_23,0.031
,,00914.254080,B5_24,0.074
,,00914.260800,A3_24,0.046
,,00914.264720,A1_24,0.03
,,00914.268880,C1_31,0.026
,,00914.289040,B1_23,0.028
,,00914.314080,A3_31,0.051
,,00914.316560,B1_13,0.031
,,00914.337360,B1_23,0.05
,,00914.339680,B1_23,0.022
,,00914.340480,B2_21,0.04
,,00914.371280,B1_23,0.081
,,00914.378800,A3_31,0.022
,,00914.396080,A1_14,0.038
,,00914.401120,A1_23,0.035
,,00914.406480,A1_23,0.072
,,00914.409280,A1_23,0.016
,,00914.422000,C1_31,0.029
,,00914.446640,A3_24,0.031
,,00914.448640,B1_23,0.067
,,00914.472000,A3_24,0.052
,,00914.498640,B5_24,0.076
,,00914.504800,B1_23,0.032
,,00914.518320,B5_24,0.062
,,00914.527360,B5_24,0.048
,,00914.574800,B1_23,0.056
,,00914.605680,B2_21,0.036
,,00914.610880,C1_31,0.028
,,00914.649920,C1_11,0.027
,,00914.658400,A3_31,0.057
,,00914.665760,B1_23,0.131
,,00914.668720,B1_23,0.015
,,00914.674240,A1_23,0.031
,,00914.680000,A1_23,0.08
,,00914.696400,B2_21,0.048
,,00914.785120,A3_24,0.032
,,00914.793360,C1_31,0.03
,,00914.800080,B1_23,0.104
,,00914.803040,B1_23,0.017
,,00914.817680,B2_21,0.043
,,00914.821600,A1_23,0.095
,,00914.824080,A1_23,0.021
,,00914.875680,A1_12,0.03
,,00914.890640,B2_31,0.055
,,00914.897760,B2_31,0.037
,,00914.904480,A1_23,0.035
,,00914.905360,B1_23,0.048
,,00914.910640,B2_31,0.036
,,00914.913200,A1_23,0.072
,,00914.914880,A1_13,0.055
,,00914.918400,B2_21,0.051
,,00914.924000,B5_24,0.075
,,00914.926000,C1_31,0.035
,,00914.933680,B5_42,0.226
,,00914.936720,B5_42,0.024
,,00914.949440,A3_24,0.066
,,00914.986800,A1_24,0.033
,,00914.987040,A3_41,0.014
,,00914.990160,A3_42,0.041
,,00914.993680,A3_41,0.015
,,00914.995280,B2_21,0.036
,,00915.002800,A3_24,0.048
,,00915.010720,B4_23,0.027
,,00915.016400,B1_13,0.035
,,00915.031840,B1_23,0.051
,,00915.034320,A1_12,0.025
,,00915.058800,B1_23,0.074
,,00915.072960,C1_31,0.035
,,00915.091200,A1_24,0.035
,,00915.148720,B5_42,0.031
,,00915.157200,B5_24,0.07
,,00915.223520,B4_23,0.03
,,00915.231440,A3_24,0.06
,,00915.234800,B1_23,0.062
,,00915.247040,C1_31,0.034
,,00915.265920,B1_23,0.052
,,00915.291440,B1_13,0.033
,,00915.300400,B1_23,0.072
,,00915.301840,B1_13,0.033
,,00915.308640,A3_24,0.048
,,00915.315840,B1_13,0.177
,,00915.318160,B1_13,0.019
,,00915.321120,B2_21,0.039
,,00915.378320,A3_31,0.052
,,00915.399840,C1_31,0.036
,,00915.417040,B2_21,0.044
,,00915.430480,A1_23,0.027
,,00915.434400,A1_23,0.071
,,00915.439360,B5_42,0.221
,,00915.442720,B5_42,0.019
,,00915.450000,B1_23,0.069
,,00915.451840,A1_23,0.062
,,00915.515920,B1_23,0.077
,,00915.526240,B5_24,0.072
,,00915.542800,C1_31,0.035
,,00915.546960,B5_42,0.033
,,00915.553360,A3_31,0.054
,,00915.583760,B2_21,0.04
,,00915.617680,A3_24,0.05
,,00915.618800,C2_22,0.249
,,00915.620240,A3_24,0.028
,,00915.621680,C2_32,0.033
,,00915.622080,C2_22,0.036
,,00915.630240,B1_13,0.036
,,00915.634000,C1_31,0.029
,,00915.650800,A3_24,0.053
,,00915.653360,A3_24,0.033
,,00915.655760,C1_31,0.028
,,00915.658240,B4_34,0.019
,,00915.704080,A3_31,0.05
,,00915.706880,A3_31,0.022
,,00915.707360,B1_23,0.051
,,00915.717280,A2_33,0.025
,,00915.728000,B2_21,0.036
,,00915.734560,B5_24,0.067
,,00915.764400,B1_23,0.063
,,00915.766560,B5_42,0.142
,,00915.770080,B5_42,0.02
,,00915.781120,A1_24,0.034
,,00915.850560,C1_31,0.031
,,00915.851520,A1_23,0.09
,,00915.895680,B1_23,0.077
,,00915.901440,A2_32,0.023
,,00915.927120,A2_32,0.02
,,00915.940160,B1_13,0.042
,,00915.966240,A1_23,0.036
,,00915.971200,A1_23,0.076
,,00915.972560,A3_31,0.03
,,00915.978400,C1_22,0.12
,,00915.986080,C1_31,0.033
,,00916.001920,B1_23,0.031
,,00916.007840,A1_13,0.05
,,00916.014000,B5_42,0.047
,,00916.050480,B5_24,0.077
,,00916.056640,B2_12,0.025
,,00916.062800,B5_24,0.054
,,00916.072560,B2_31,0.049
,,00916.077840,B5_24,0.056
,,00916.087680,B2_31,0.041
,,00916.090160,A3_24,0.066
,,00916.091200,A3_31,0.046
,,00916.104160,A1_23,0.036
,,00916.105200,C1_31,0.029
,,00916.110080,A1_23,0.074
,,00916.114960,B5_42,0.032
,,00916.124960,A1_23,0.056
,,00916.126000,A3_24,0.05
,,00916.127680,A1_12,0.03
,,00916.135600,B1_23,0.078
,,00916.147520,B1_23,0.06
,,00916.236880,C1_11,0.022
,,00916.267120,B2_21,0.038
,,00916.268800,C1_31,0.03
,,00916.272400,A1_23,0.04
,,00916.286080,A1_12,0.025
,,00916.286160,A1_23,0.071
,,00916.300880,B1_23,0.049
,,00916.340640,A3_31,0.041
,,00916.397760,C1_31,0.032
,,00916.401520,B1_23,0.053
,,00916.422320,B5_31,0.107
,,00916.424640,B1_23,0.073
,,00916.424800,B5_31,0.016
,,00916.430880,B2_21,0.035
,,00916.435760,A1_23,0.036
,,00916.454960,C1_31,0.026
,,00916.471040,A3_24,0.058
,,00916.494480,A3_24,0.065
,,00916.503760,A3_24,0.057
,,00916.509440,B1_23,0.065
,,00916.513120,A3_24,0.037
,,00916.516640,A2_33,0.02
,,00916.517760,B5_24,0.074
,,00916.535360,B5_42,0.163
,,00916.538720,B5_42,0.016
,,00916.542320,A1_13,0.056
,,00916.547680,A2_14,0.058
,,00916.558640,A1_13,0.035
,,00916.565840,A2_14,0.046
,,00916.584480,A2_14,0.045
,,00916.585680,A3_31,0.054
,,00916.599040,B2_12,0.243
,,00916.599680,A1_23,0.037
,,00916.601280,B2_12,0.011
,,00916.605280,A1_23,0.074
,,00916.605360,C1_31,0.035
,,00916.617840,B1_23,0.074
,,00916.620480,A2_32,0.026
,,00916.621520,A1_23,0.057
,,00916.621600,A2_14,0.047
,,00916.624480,B1_23,0.048
,,00916.633040,A3_31,0.075
,,00916.634800,B2_24,0.067
,,00916.637280,B2_24,0.064
,,00916.642160,A2_14,0.033
,,00916.647840,B1_23,0.022
,,00916.649360,A3_24,0.069
,,00916.662880,C1_31,0.027
,,00916.663840,A3_24,0.046
,,00916.664960,A3_41,0.024
,,00916.665840,A2_14,0.031
,,00916.667600,A3_24,0.045
,,00916.668240,A3_42,0.03
,,00916.668240,B4_23,0.035
,,00916.677680,A3_24,0.049
,,00916.692720,A3_24,0.029
,,00916.704000,B2_21,0.045
,,00916.709200,A2_14,0.035
,,00916.722000,A1_23,0.033
,,00916.732400,A1_23,0.072
,,00916.735680,B1_23,0.059
,,00916.756560,C1_22,0.11
,,00916.776240,C1_31,0.033
,,00916.793920,A3_24,0.062
,,00916.798560,A1_24,0.028
,,00916.863120,B1_23,0.055
,,00916.864480,C2_32,0.024
,,00916.884160,B5_42,0.142
,,00916.888000,B5_42,0.023
,,00916.896720,A1_23,0.039
,,00916.903280,A1_23,0.074
,,00916.947440,A3_24,0.055
,,00916.958080,C1_31,0.029
,,00916.964480,B1_13,0.04
,,00916.971760,B1_13,0.197
,,00916.974000,B1_13,0.022
,,00916.975200,A3_31,0.026
,,00916.985200,B5_24,0.075
,,00916.992160,A3_31,0.05
,,00917.003840,B1_13,0.035
,,00917.013200,B5_24,0.065
,,00917.028400,B5_24,0.053
,,00917.036160,B2_31,0.057
,,00917.039440,B2_21,0.022
,,00917.044080,B2_31,0.042
,,00917.059680,B1_23,0.051
,,00917.061520,A1_23,0.032
,,00917.068720,A1_12,0.024
,,00917.081440,A1_23,0.072
,,00917.093040,B2_12,0.242
,,00917.093600,C1_31,0.034
,,00917.094480,B1_23,0.06
,,00917.095360,B2_12,0.02
,,00917.095840,B5_42,0.034
,,00917.100000,B2_12,0.104
,,00917.102880,B2_12,0.017
,,00917.115600,B2_24,0.087
,,00917.117840,B2_24,0.025
,,00917.124880,B1_13,0.034
,,00917.137920,A3_31,0.068
,,00917.163440,A1_23,0.036
,,00917.173920,A1_23,0.071
,,00917.188160,A1_24,0.027
,,00917.196400,A1_23,0.06
,,00917.228640,A1_12,0.026
,,00917.231920,A3_24,0.058
,,00917.260640,A1_23,0.034
,,00917.276000,A3_31,0.072
,,00917.277920,C1_31,0.028
,,00917.303280,A3_31,0.053
,,00917.309440,B1_23,0.08
,,00917.327360,B2_24,0.063
,,00917.335760,B2_24,0.038
,,00917.338320,B2_24,0.029
,,00917.344320,B2_21,0.047
,,00917.347440,A3_24,0.044
,,00917.353440,A3_24,0.035
,,00917.356640,A1_23,0.029
,,00917.360160,A3_42,0.022
,,00917.370160,A1_23,0.064
,,00917.378240,B2_21,0.138
,,00917.381200,B2_21,0.024
,,00917.389520,B2_12,0.027
,,00917.395760,B2_21,0.031
,,00917.396320,B2_31,0.04
,,00917.406480,A3_31,0.056
,,00917.409600,C1_31,0.032
,,00917.417760,B2_21,0.039
,,00917.428880,B2_21,0.025
,,00917.430720,A3_42,0.036
,,00917.434960,B1_23,0.048
,,00917.438080,A3_42,0.034
,,00917.445600,A3_41,0.023
,,00917.445840,A3_31,0.053
,,00917.446080,A3_24,0.051
,,00917.448400,A3_31,0.1
,,00917.449040,A3_42,0.062
,,00917.449360,A3_41,0.023
,,00917.449840,A3_24,0.039
,,00917.451040,A3_31,0.034
,,00917.454160,A3_42,0.026
,,00917.456800,A3_42,0.022
,,00917.459600,A3_42,0.021
,,00917.459840,A3_24,0.036
,,00917.463760,A3_24,0.051
,,00917.465840,B5_42,0.082
,,00917.468720,A3_31,0.042
,,00917.468880,A1_23,0.06
,,00917.469840,A3_41,0.046
,,00917.471360,A3_42,0.026
,,00917.474160,A3_42,0.033
,,00917.474560,A3_24,0.025
,,00917.476880,A3_31,0.037
,,00917.480560,B1_23,0.054
,,00917.483280,A3_31,0.035
,,00917.484800,A3_21,0.035
,,00917.488880,A3_42,0.026
,,00917.499200,A3_24,0.033
,,00917.507360,A3_31,0.051
,,00917.509200,A3_24,0.047
,,00917.511520,B5_24,0.073
,,00917.511680,A3_24,0.048
,,00917.514400,A3_42,0.043
,,00917.514960,A3_31,0.062
,,00917.517600,A3_31,0.03
,,00917.517600,A3_33,0.034
,,00917.517600,A3_42,0.024
,,00917.521600,A3_41,0.021
,,00917.522160,B1_23,0.067
,,00917.523120,A3_42,0.028
,,00917.524720,A3_24,0.05
,,00917.526480,B1_23,0.051
,,00917.527280,A3_21,0.034
,,00917.528800,A3_24,0.025
,,00917.542800,B5_42,0.034
,,00917.545280,C1_31,0.034
,,00917.550640,C2_32,0.029
,,00917.556960,A3_24,0.058
,,00917.562240,A3_24,0.028
,,00917.562800,A3_42,0.03
,,00917.564320,A1_12,0.026
,,00917.574720,B2_21,0.045
,,00917.578160,B2_21,0.019
,,00917.637520,A1_23,0.071
,,00917.661200,C1_31,0.035
,,00917.662720,B5_42,0.216
,,00917.666000,B5_42,0.016
,,00917.681760,C1_31,0.028
,,00917.688080,C1_21,0.028
,,00917.694320,B1_23,0.083
,,00917.727040,A1_12,0.032
,,00917.786400,B5_42,0.049
,,00917.807760,B1_13,0.039
,,00917.829520,B1_23,0.062
,,00917.832800,A1_23,0.034
,,00917.840320,A1_23,0.071
,,00917.842160,B5_24,0.03
,,00917.854960,B2_21,0.034
,,00917.859200,B1_23,0.048
,,00917.862480,A1_24,0.029
,,00917.872560,B1_23,0.078
,,00917.882080,C1_31,0.035
,,00917.885040,A1_23,0.097
,,00917.886720,A1_12,0.022
,,00917.894400,A2_24,0.026
,,00917.895520,B2_12,0.236
,,00917.897840,B2_12,0.024
,,00917.901440,A3_24,0.026
,,00917.901840,B2_12,0.078
,,00917.905040,B2_12,0.034
,,00917.906080,A3_24,0.071
,,00917.909920,B2_24,0.084
,,00917.912320,B2_24,0.022
,,00917.944240,A3_24,0.056
,,00917.960000,A3_31,0.056
,,00917.977200,B1_13,0.032
,,00917.984960,A3_24,0.041
,,00917.997520,A3_31,0.031
,,00918.007200,B5_24,0.075
,,00918.024080,B2_31,0.048
,,00918.031360,B2_31,0.035
,,00918.036000,B5_24,0.062
,,00918.041840,B2_31,0.041
,,00918.043520,C1_31,0.031
,,00918.063600,A1_13,0.057
,,00918.065200,B5_24,0.058
,,00918.103120,B1_23,0.044
,,00918.125680,B2_21,0.05
,,00918.144800,A1_23,0.034
,,00918.147200,B1_23,0.058
,,00918.151920,A1_23,0.07
,,00918.169520,B4_23,0.03
,,00918.197760,A3_24,0.054
,,00918.207280,C1_31,0.029
,,00918.208720,B2_12,0.232
,,00918.210960,B2_12,0.018
,,00918.215040,B2_12,0.063
,,00918.218800,B2_12,0.022
,,00918.224160,B2_21,0.028
,,00918.238240,A3_31,0.054
,,00918.240240,B2_24,0.082
,,00918.244480,A3_42,0.021
,,00918.279280,B1_23,0.084
,,00918.296400,C1_31,0.032
,,00918.326000,C1_22,0.12
,,00918.361680,B5_24,0.072
,,00918.374320,B5_24,0.059
,,00918.396320,B1_23,0.049
,,00918.408800,B5_42,0.237
,,00918.411920,B5_42,0.015
,,00918.423760,A1_23,0.03
,,00918.432800,A1_23,0.071
,,00918.435520,B1_23,0.063
,,00918.464240,C1_31,0.031
,,00918.465040,A3_24,0.058
,,00918.488960,B1_23,0.046
,,00918.491760,B2_21,0.04
,,00918.519360,A3_24,0.044
,,00918.546400,A3_31,0.054
,,00918.547760,A3_24,0.088
,,00918.551360,A3_24,0.038
,,00918.609040,A1_24,0.031
,,00918.609520,C1_31,0.032
,,00918.611040,A1_12,0.028
,,00918.620960,A1_13,0.062
,,00918.700960,A1_23,0.034
,,00918.706560,A1_23,0.078
,,00918.723280,A1_23,0.062
,,00918.725040,B2_21,0.036
,,00918.736320,B5_24,0.07
,,00918.746880,B5_24,0.064
,,00918.754560,B1_23,0.05
,,00918.770800,B1_23,0.089
,,00918.786800,C1_31,0.029
,,00918.791280,B5_42,0.036
,,00918.808800,A1_12,0.03
,,00918.866960,A3_31,0.046
,,00918.876480,A3_24,0.059
,,00918.883280,B1_23,0.071
,,00918.909120,A3_24,0.051
,,00918.957120,B1_23,0.081
,,00918.957440,B2_12,0.232
,,00918.960080,B2_12,0.025
,,00918.960720,B1_13,0.037
,,00918.960880,B5_42,0.191
