Investigator,,Time (s),Electrode,Amplitude (mV)
,,00010.516080,A1_74,0.051
,,00010.516240,A1_34,0.036
,,00010.516240,A1_35,0.107
,,00010.516320,A1_18,0.038
,,00010.516320,A1_88,0.042
,,00010.516400,A1_57,0.041
,,00010.516400,A1_76,0.032
,,00010.516480,A1_24,0.049
,,00010.516720,A1_52,0.054
,,00010.516800,A1_46,0.047
,,00010.516800,A1_61,0.045
,,00010.516880,A1_75,0.062
,,00010.517040,A1_27,0.024
,,00010.517120,A1_15,0.039
,,00010.517120,A1_44,0.039
,,00010.517200,A1_26,0.046
,,00010.517200,A1_55,0.068
,,00010.517200,A1_65,0.101
,,00010.517280,A1_56,0.046
,,00010.517360,A1_51,0.069
,,00010.517360,A1_66,0.114
,,00010.517440,A1_22,0.058
,,00010.517440,A1_86,0.055
,,00010.517600,A1_21,0.05
,,00010.517600,A1_48,0.04
,,00010.517600,A1_53,0.041
,,00010.517760,A1_14,0.03
,,00010.517760,A1_84,0.045
,,00010.517840,A1_62,0.052
,,00010.517840,A1_82,0.104
,,00010.518080,A1_54,0.068
,,00010.518080,A1_71,0.04
,,00010.518160,A1_25,0.032
,,00010.518240,A1_11,0.055
,,00010.518320,A1_68,0.027
,,00010.518400,A1_12,0.038
,,00010.518400,A1_13,0.034
,,00010.518480,A1_16,0.04
,,00010.518560,A1_18,0.038
,,00010.518640,A1_35,0.058
,,00010.518640,A1_67,0.106
,,00010.518720,A1_58,0.037
,,00010.518720,A1_72,0.092
,,00010.518720,A1_83,0.034
,,00010.518880,A1_57,0.103
,,00010.518960,A1_36,0.034
,,00010.518960,A1_74,0.111
,,00010.519120,A1_52,0.039
,,00010.519120,A1_81,0.046
,,00010.519200,A1_64,0.063
,,00010.519200,A1_75,0.062
,,00010.519280,A1_77,0.054
,,00010.519360,A1_61,0.041
,,00010.519440,A1_33,0.031
,,00010.519520,A1_27,0.028
,,00010.519520,A1_56,0.036
,,00010.519600,A1_26,0.042
,,00010.519760,A1_45,0.06
,,00010.519760,A1_47,0.047
,,00010.519760,A1_66,0.111
,,00010.519840,A1_24,0.067
,,00010.519840,A1_48,0.032
,,00010.519920,A1_21,0.052
,,00010.519920,A1_51,0.093
,,00010.520000,A1_22,0.067
,,00010.520000,A1_28,0.036
,,00010.520000,A1_55,0.069
,,00010.520080,A1_17,0.042
,,00010.520080,A1_38,0.043
,,00010.520080,A1_86,0.04
,,00010.520400,A1_53,0.063
,,00010.520480,A1_14,0.066
,,00010.520480,A1_63,0.024
,,00010.520560,A1_65,0.115
,,00010.520720,A1_46,0.045
,,00010.520800,A1_11,0.063
,,00010.520800,A1_85,0.029
,,00010.520960,A1_13,0.086
,,00010.520960,A1_35,0.061
,,00010.521040,A1_32,0.067
,,00010.521040,A1_88,0.054
,,00010.521120,A1_72,0.064
,,00010.521120,A1_84,0.035
,,00010.521200,A1_18,0.047
,,00010.521200,A1_57,0.02
,,00010.521200,A1_78,0.028
,,00010.521280,A1_16,0.037
,,00010.521360,A1_34,0.04
,,00010.521360,A1_81,0.029
,,00010.521440,A1_31,0.075
,,00010.521440,A1_74,0.033
,,00010.521520,A1_58,0.028
,,00010.521600,A1_52,0.054
,,00010.521840,A1_25,0.04
,,00010.521840,A1_77,0.029
,,00010.521920,A1_33,0.047
,,00010.522000,A1_42,0.036
,,00010.522000,A1_56,0.043
,,00010.522080,A1_24,0.059
,,00010.522080,A1_66,0.082
,,00010.522160,A1_12,0.05
,,00010.522160,A1_51,0.105
,,00010.522320,A1_68,0.04
,,00010.522400,A1_22,0.052
,,00010.522400,A1_61,0.053
,,00010.522480,A1_48,0.052
,,00010.522560,A1_44,0.045
,,00010.522560,A1_76,0.049
,,00010.522560,A1_82,0.119
,,00010.522640,A1_45,0.05
,,00010.522720,A1_26,0.029
,,00010.522720,A1_71,0.028
,,00010.522720,A1_73,0.024
,,00010.522960,A1_17,0.032
,,00010.522960,A1_27,0.054
,,00010.522960,A1_46,0.057
,,00010.523040,A1_55,0.065
,,00010.523040,A1_64,0.047
,,00010.523120,A1_37,0.036
,,00010.523200,A1_23,0.11
,,00010.523280,A1_38,0.092
,,00010.523280,A1_62,0.035
,,00010.523280,A1_65,0.089
,,00010.523360,A1_15,0.037
,,00010.523360,A1_53,0.052
,,00010.523360,A1_54,0.094
,,00010.523600,A1_57,0.052
,,00010.523600,A1_88,0.07
,,00010.523760,A1_63,0.036
,,00010.523760,A1_72,0.055
,,00010.523840,A1_21,0.06
,,00010.523840,A1_52,0.037
,,00010.523920,A1_13,0.043
,,00010.524000,A1_34,0.063
,,00010.524080,A1_58,0.036
,,00010.524080,A1_74,0.043
,,00010.524160,A1_33,0.049
,,00010.524400,A1_51,0.043
,,00010.524480,A1_24,0.051
,,00010.524560,A1_56,0.048
,,00010.524560,A1_68,0.046
,,00010.524720,A1_83,0.048
,,00010.524880,A1_35,0.065
,,00010.524880,A1_45,0.062
,,00010.525040,A1_41,0.044
,,00010.525040,A1_42,0.048
,,00010.525040,A1_48,0.041
,,00010.525120,A1_44,0.044
,,00010.525120,A1_75,0.052
,,00010.525200,A1_12,0.041
,,00010.525280,A1_46,0.05
,,00010.525280,A1_55,0.051
,,00010.525280,A1_73,0.039
,,00010.525360,A1_16,0.045
,,00010.525360,A1_26,0.05
,,00010.525360,A1_28,0.055
,,00010.525520,A1_23,0.087
,,00010.525520,A1_37,0.029
,,00010.525520,A1_71,0.033
,,00010.525680,A1_25,0.039
,,00010.525680,A1_53,0.072
,,00010.525680,A1_65,0.112
,,00010.525760,A1_54,0.067
,,00010.525760,A1_66,0.101
,,00010.525840,A1_15,0.031
,,00010.525840,A1_61,0.06
,,00010.525840,A1_82,0.133
,,00010.525920,A1_11,0.058
,,00010.525920,A1_78,0.045
,,00010.525920,A1_88,0.074
,,00010.526000,A1_57,0.04
,,00010.526000,A1_76,0.049
,,00010.526080,A1_63,0.029
,,00010.526080,A1_64,0.047
,,00010.526080,A1_72,0.072
,,00010.526160,A1_32,0.056
,,00010.526240,A1_84,0.034
,,00010.526320,A1_13,0.025
,,00010.526320,A1_18,0.08
,,00010.526320,A1_67,0.055
,,00010.526400,A1_33,0.043
,,00010.526400,A1_34,0.027
,,00010.526400,A1_52,0.051
,,00010.526640,A1_74,0.066
,,00010.526640,A1_86,0.071
,,00010.526640,A1_87,0.033
,,00010.526880,A1_58,0.049
,,00010.527120,A1_24,0.051
,,00010.527360,A1_47,0.039
,,00010.527360,A1_48,0.04
,,00010.527360,A1_83,0.034
,,00010.527520,A1_46,0.055
,,00010.527600,A1_12,0.065
,,00010.527680,A1_26,0.043
,,00010.527680,A1_75,0.043
,,00010.527760,A1_16,0.035
,,00010.527760,A1_44,0.039
,,00010.527840,A1_62,0.059
,,00010.527920,A1_17,0.073
,,00010.527920,A1_38,0.11
,,00010.527920,A1_73,0.038
,,00010.528080,A1_21,0.034
,,00010.528080,A1_42,0.045
,,00010.528080,A1_56,0.04
,,00010.528160,A1_54,0.089
,,00010.528160,A1_82,0.108
,,00010.528240,A1_31,0.043
,,00010.528240,A1_61,0.062
,,00010.528320,A1_15,0.069
,,00010.528320,A1_25,0.071
,,00010.528320,A1_36,0.094
,,00010.528400,A1_55,0.039
,,00010.528400,A1_71,0.055
,,00010.528560,A1_18,0.034
,,00010.528560,A1_57,0.021
,,00010.528720,A1_64,0.045
,,00010.528720,A1_66,0.114
,,00010.528800,A1_22,0.047
,,00010.528880,A1_63,0.027
,,00010.528960,A1_37,0.03
,,00010.529040,A1_13,0.058
,,00010.529040,A1_76,0.099
,,00010.529120,A1_67,0.14
,,00010.529120,A1_84,0.036
,,00010.529200,A1_58,0.086
,,00010.529280,A1_33,0.088
,,00010.529280,A1_72,0.061
,,00010.529360,A1_24,0.061
,,00010.529360,A1_34,0.113
,,00010.529360,A1_52,0.068
,,00010.529600,A1_77,0.044
,,00010.529680,A1_68,0.037
,,00010.529760,A1_51,0.113
,,00010.529840,A1_46,0.051
,,00010.529840,A1_47,0.047
,,00010.529840,A1_74,0.075
,,00010.529920,A1_26,0.053
,,00010.529920,A1_81,0.03
,,00010.530000,A1_75,0.084
,,00010.530160,A1_12,0.035
,,00010.530160,A1_35,0.074
,,00010.530240,A1_48,0.071
,,00010.530240,A1_62,0.069
,,00010.530240,A1_87,0.028
,,00010.530320,A1_86,0.077
,,00010.530560,A1_73,0.037
,,00010.530560,A1_83,0.043
,,00010.530720,A1_23,0.074
,,00010.530720,A1_25,0.05
,,00010.530880,A1_65,0.117
,,00010.530960,A1_16,0.056
,,00010.531040,A1_66,0.074
,,00010.531040,A1_82,0.142
,,00010.531040,A1_85,0.028
,,00010.531200,A1_17,0.063
,,00010.531200,A1_37,0.055
,,00010.531280,A1_11,0.075
,,00010.531360,A1_61,0.071
,,00010.531360,A1_88,0.062
,,00010.531440,A1_31,0.078
,,00010.531440,A1_32,0.077
,,00010.531440,A1_84,0.034
,,00010.531520,A1_33,0.029
,,00010.531520,A1_64,0.047
,,00010.531600,A1_58,0.035
,,00010.531680,A1_54,0.09
,,00010.531680,A1_76,0.066
,,00010.531840,A1_13,0.05
,,00010.531840,A1_52,0.084
,,00010.531840,A1_67,0.132
,,00010.531920,A1_36,0.042
,,00010.532000,A1_34,0.036
,,00010.532160,A1_72,0.124
,,00010.532240,A1_68,0.076
,,00010.532400,A1_12,0.059
,,00010.532400,A1_57,0.038
,,00010.532400,A1_77,0.047
,,00010.532480,A1_35,0.072
,,00010.532480,A1_47,0.033
,,00010.532640,A1_86,0.053
,,00010.532720,A1_51,0.266
,,00010.532800,A1_45,0.056
,,00010.532960,A1_23,0.078
,,00010.532960,A1_25,0.043
,,00010.532960,A1_74,0.031
,,00010.533040,A1_38,0.064
,,00010.533040,A1_62,0.051
,,00010.533120,A1_65,0.09
,,00010.533120,A1_71,0.043
,,00010.533200,A1_42,0.037
,,00010.533280,A1_21,0.064
,,00010.533280,A1_87,0.047
,,00010.533360,A1_53,0.1
