Investigator,,Time (s),Electrode,Amplitude (mV)
,,00116.056160,A1_73,0.026
,,00116.056720,A1_11,0.037
,,00116.056880,A1_66,0.122
,,00116.056960,A1_68,0.027
,,00116.057040,A1_78,0.028
,,00116.057200,A1_34,0.04
,,00116.057200,A1_38,0.024
,,00116.057520,A1_87,0.035
,,00116.057920,A1_77,0.039
,,00116.058320,A1_33,0.026
,,00116.058560,A1_28,0.063
,,00116.058880,A1_53,0.026
,,00116.058880,A1_72,0.039
,,00116.059280,A1_55,0.064
,,00116.059600,A1_11,0.037
,,00116.060240,A1_23,0.059
,,00116.060560,A1_57,0.034
,,00116.060720,A1_33,0.051
,,00116.060720,A1_34,0.081
,,00116.060960,A1_48,0.036
,,00116.060960,A1_67,0.129
,,00116.061120,A1_56,0.023
,,00116.061120,A1_88,0.041
,,00116.061200,A1_66,0.096
,,00116.061280,A1_31,0.046
,,00116.061440,A1_38,0.021
,,00116.061440,A1_68,0.026
,,00116.061680,A1_24,0.03
,,00116.061760,A1_18,0.026
,,00116.062080,A1_46,0.023
,,00116.062160,A1_72,0.141
,,00116.062800,A1_15,0.03
,,00116.062800,A1_65,0.13
,,00116.063200,A1_51,0.047
,,00116.063520,A1_67,0.024
,,00116.063600,A1_34,0.049
,,00116.063680,A1_33,0.036
,,00116.063840,A1_52,0.056
,,00116.063840,A1_55,0.032
,,00116.063920,A1_54,0.035
,,00116.063920,A1_82,0.045
,,00116.064400,A1_48,0.045
,,00116.064480,A1_72,0.045
,,00116.064480,A1_78,0.057
,,00116.064640,A1_68,0.027
,,00116.064880,A1_44,0.03
,,00116.065120,A1_56,0.031
,,00116.065280,A1_58,0.057
,,00116.065360,A1_57,0.056
,,00116.065440,A1_17,0.028
,,00116.065520,A1_87,0.035
,,00116.065760,A1_53,0.033
,,00116.066000,A1_32,0.025
,,00116.066080,A1_51,0.039
,,00116.066560,A1_52,0.043
,,00116.066560,A1_62,0.038
,,00116.066800,A1_76,0.031
,,00116.066880,A1_72,0.033
,,00116.067040,A1_55,0.034
,,00116.067360,A1_56,0.026
,,00116.067520,A1_82,0.031
,,00116.067680,A1_57,0.023
,,00116.068000,A1_35,0.027
,,00116.068240,A1_78,0.023
,,00116.068400,A1_58,0.032
,,00116.068640,A1_51,0.027
,,00116.068720,A1_66,0.077
,,00116.068880,A1_31,0.024
,,00116.068880,A1_32,0.023
,,00116.069040,A1_65,0.044
,,00116.069280,A1_75,0.022
,,00116.069760,A1_46,0.072
,,00116.069760,A1_82,0.061
,,00116.069840,A1_64,0.101
,,00116.069840,A1_67,0.09
,,00116.069920,A1_74,0.047
,,00116.070000,A1_57,0.027
,,00116.070080,A1_54,0.033
,,00116.070080,A1_63,0.031
,,00116.070080,A1_73,0.032
,,00116.070160,A1_83,0.021
,,00116.070400,A1_72,0.042
,,00116.070480,A1_53,0.041
,,00116.070560,A1_62,0.027
,,00116.070560,A1_68,0.023
,,00116.070640,A1_52,0.023
,,00116.070640,A1_55,0.049
,,00116.070720,A1_71,0.034
,,00116.070880,A1_34,0.033
,,00116.070960,A1_15,0.025
,,00116.071040,A1_18,0.02
,,00116.071040,A1_56,0.033
,,00116.071120,A1_11,0.029
,,00116.071200,A1_51,0.05
,,00116.071440,A1_23,0.026
,,00116.071440,A1_38,0.031
,,00116.071520,A1_58,0.03
,,00116.071600,A1_61,0.059
,,00116.071760,A1_65,0.053
,,00116.071760,A1_75,0.025
,,00116.072240,A1_67,0.177
,,00116.072640,A1_31,0.069
,,00116.072640,A1_64,0.026
,,00116.072640,A1_66,0.083
,,00116.072800,A1_33,0.025
,,00116.072800,A1_68,0.028
,,00116.072960,A1_73,0.027
,,00116.073520,A1_51,0.045
,,00116.073600,A1_42,0.04
,,00116.073600,A1_48,0.039
,,00116.073680,A1_52,0.044
,,00116.073760,A1_58,0.047
,,00116.074000,A1_62,0.029
,,00116.074080,A1_14,0.056
,,00116.074080,A1_71,0.026
,,00116.074240,A1_23,0.035
,,00116.074400,A1_21,0.038
,,00116.074400,A1_53,0.026
,,00116.074560,A1_11,0.034
,,00116.074640,A1_22,0.028
,,00116.074720,A1_12,0.027
,,00116.074720,A1_38,0.022
,,00116.074720,A1_65,0.13
,,00116.074800,A1_32,0.029
,,00116.074800,A1_78,0.048
,,00116.074800,A1_87,0.038
,,00116.075040,A1_75,0.035
,,00116.075200,A1_66,0.098
,,00116.075440,A1_17,0.041
,,00116.075520,A1_56,0.038
,,00116.075680,A1_24,0.035
,,00116.075680,A1_34,0.027
,,00116.075680,A1_76,0.028
,,00116.075760,A1_46,0.044
,,00116.075760,A1_77,0.04
,,00116.075920,A1_88,0.056
,,00116.076000,A1_52,0.045
,,00116.076000,A1_57,0.026
,,00116.076080,A1_51,0.069
,,00116.076080,A1_67,0.055
,,00116.076320,A1_45,0.025
,,00116.076320,A1_48,0.039
,,00116.076480,A1_82,0.034
,,00116.076720,A1_23,0.044
,,00116.076800,A1_11,0.026
,,00116.076800,A1_54,0.047
,,00116.076800,A1_72,0.023
,,00116.076880,A1_53,0.034
,,00116.076880,A1_83,0.024
,,00116.077040,A1_64,0.057
,,00116.077040,A1_65,0.129
,,00116.077120,A1_55,0.051
,,00116.077120,A1_71,0.055
,,00116.077120,A1_74,0.057
,,00116.077440,A1_33,0.028
,,00116.077440,A1_66,0.104
,,00116.077520,A1_31,0.029
,,00116.077600,A1_78,0.027
,,00116.077680,A1_75,0.036
,,00116.077760,A1_32,0.026
,,00116.077760,A1_62,0.029
,,00116.077840,A1_41,0.026
,,00116.078160,A1_56,0.03
,,00116.078480,A1_15,0.024
,,00116.078480,A1_25,0.023
,,00116.078480,A1_28,0.057
,,00116.078560,A1_34,0.021
,,00116.078560,A1_51,0.064
,,00116.078560,A1_84,0.028
,,00116.078640,A1_52,0.045
,,00116.078720,A1_57,0.041
,,00116.079120,A1_45,0.032
,,00116.079200,A1_11,0.037
,,00116.079280,A1_23,0.032
,,00116.079280,A1_82,0.096
,,00116.079360,A1_35,0.038
,,00116.079440,A1_26,0.035
,,00116.079840,A1_65,0.067
,,00116.079920,A1_72,0.049
,,00116.079920,A1_83,0.048
,,00116.080000,A1_18,0.026
,,00116.080000,A1_63,0.03
,,00116.080000,A1_73,0.028
,,00116.080080,A1_53,0.061
,,00116.080160,A1_46,0.043
,,00116.080240,A1_21,0.029
,,00116.080320,A1_48,0.045
,,00116.080320,A1_62,0.03
,,00116.080480,A1_22,0.03
,,00116.080560,A1_14,0.023
,,00116.080720,A1_88,0.034
,,00116.080800,A1_54,0.035
,,00116.080880,A1_76,0.032
,,00116.080960,A1_55,0.031
,,00116.080960,A1_67,0.028
,,00116.081040,A1_66,0.048
,,00116.081200,A1_68,0.023
,,00116.081840,A1_31,0.039
,,00116.081840,A1_51,0.036
,,00116.081840,A1_57,0.048
,,00116.081920,A1_38,0.041
,,00116.082080,A1_11,0.028
,,00116.082080,A1_78,0.056
,,00116.082160,A1_12,0.023
,,00116.082160,A1_58,0.046
,,00116.082320,A1_82,0.1
,,00116.082480,A1_65,0.111
,,00116.082720,A1_41,0.034
,,00116.082720,A1_46,0.081
,,00116.082800,A1_63,0.032
,,00116.082880,A1_56,0.035
,,00116.082880,A1_83,0.03
,,00116.082960,A1_88,0.022
,,00116.083040,A1_42,0.023
,,00116.083040,A1_53,0.037
,,00116.083200,A1_21,0.032
,,00116.083200,A1_24,0.038
,,00116.083200,A1_32,0.032
,,00116.083280,A1_47,0.046
,,00116.083360,A1_13,0.064
,,00116.083440,A1_14,0.016
,,00116.083520,A1_61,0.042
,,00116.083600,A1_44,0.028
,,00116.083600,A1_86,0.023
,,00116.083680,A1_54,0.061
,,00116.083760,A1_52,0.029
,,00116.083760,A1_72,0.02
,,00116.083760,A1_76,0.028
,,00116.083840,A1_34,0.034
,,00116.084240,A1_48,0.04
,,00116.084320,A1_38,0.026
,,00116.084320,A1_51,0.043
,,00116.084480,A1_26,0.02
,,00116.084480,A1_57,0.046
,,00116.084560,A1_62,0.038
,,00116.084720,A1_71,0.031
,,00116.084800,A1_12,0.047
,,00116.084800,A1_27,0.027
,,00116.084800,A1_87,0.053
,,00116.084960,A1_31,0.034
,,00116.084960,A1_46,0.052
,,00116.085040,A1_58,0.037
,,00116.085120,A1_17,0.027
,,00116.085120,A1_55,0.068
,,00116.085120,A1_65,0.127
,,00116.085200,A1_18,0.03
,,00116.085200,A1_63,0.024
,,00116.085280,A1_45,0.034
,,00116.085280,A1_66,0.086
,,00116.085520,A1_53,0.038
,,00116.085520,A1_82,0.06
,,00116.085600,A1_67,0.171
,,00116.085680,A1_68,0.028
,,00116.085760,A1_32,0.044
,,00116.085760,A1_78,0.053
,,00116.086000,A1_24,0.033
,,00116.086080,A1_56,0.032
,,00116.086240,A1_11,0.027
,,00116.086240,A1_88,0.051
,,00116.086320,A1_54,0.052
,,00116.086400,A1_52,0.041
,,00116.086560,A1_13,0.034
,,00116.086560,A1_35,0.033
,,00116.086560,A1_44,0.058
,,00116.086640,A1_33,0.035
,,00116.086640,A1_34,0.037
,,00116.086800,A1_51,0.052
,,00116.086880,A1_48,0.04
,,00116.086880,A1_86,0.031
,,00116.086960,A1_41,0.04
,,00116.086960,A1_42,0.054
,,00116.087120,A1_23,0.039
,,00116.087280,A1_14,0.05
,,00116.087280,A1_58,0.027
,,00116.087360,A1_65,0.088
,,00116.087440,A1_57,0.04
,,00116.087520,A1_21,0.037
,,00116.087520,A1_66,0.096
,,00116.087520,A1_75,0.063
,,00116.087600,A1_31,0.034
,,00116.087600,A1_55,0.04
,,00116.087760,A1_28,0.028
,,00116.087760,A1_82,0.075
,,00116.088000,A1_27,0.024
,,00116.088000,A1_37,0.022
,,00116.088320,A1_16,0.021
,,00116.088480,A1_15,0.028
,,00116.088480,A1_45,0.033
,,00116.088480,A1_78,0.043
,,00116.088560,A1_81,0.022
,,00116.088720,A1_67,0.03
,,00116.088720,A1_68,0.024
,,00116.088800,A1_56,0.036
,,00116.088800,A1_76,0.032
,,00116.089040,A1_72,0.156
,,00116.089040,A1_87,0.028
,,00116.089120,A1_62,0.049
,,00116.089120,A1_71,0.047
,,00116.089360,A1_34,0.034
,,00116.089360,A1_61,0.026
,,00116.089440,A1_13,0.033
,,00116.089440,A1_38,0.049
,,00116.089440,A1_74,0.044
,,00116.089600,A1_12,0.028
,,00116.089600,A1_24,0.044
,,00116.089600,A1_46,0.039
,,00116.089760,A1_18,0.029
,,00116.089840,A1_73,0.03
,,00116.089840,A1_83,0.036
,,00116.089920,A1_42,0.023
,,00116.090000,A1_77,0.027
,,00116.090080,A1_57,0.028
,,00116.090080,A1_82,0.103
,,00116.090240,A1_75,0.032
,,00116.090320,A1_11,0.023
,,00116.090320,A1_53,0.043
,,00116.090320,A1_58,0.036
,,00116.090560,A1_47,0.036
,,00116.090560,A1_65,0.143
,,00116.090640,A1_17,0.08
,,00116.090720,A1_27,0.028
,,00116.090720,A1_55,0.066
,,00116.090720,A1_63,0.023
,,00116.090800,A1_37,0.026
,,00116.090880,A1_26,0.028
,,00116.090880,A1_45,0.048
,,00116.091040,A1_23,0.029
,,00116.091040,A1_86,0.026
,,00116.091120,A1_56,0.058
,,00116.091360,A1_35,0.028
,,00116.091360,A1_66,0.074
,,00116.091360,A1_72,0.031
,,00116.091440,A1_21,0.022
,,00116.091440,A1_44,0.029
,,00116.091600,A1_88,0.037
,,00116.091680,A1_34,0.036
,,00116.091760,A1_15,0.025
,,00116.091760,A1_78,0.035
,,00116.092000,A1_67,0.043
,,00116.092000,A1_68,0.027
,,00116.092080,A1_84,0.032
,,00116.092240,A1_28,0.039
,,00116.092240,A1_73,0.026
,,00116.092320,A1_57,0.126
,,00116.092400,A1_52,0.035
,,00116.092480,A1_46,0.035
,,00116.092560,A1_83,0.034
,,00116.092800,A1_11,0.039
,,00116.092800,A1_14,0.032
,,00116.092880,A1_71,0.036
,,00116.093040,A1_65,0.112
,,00116.093040,A1_82,0.048
,,00116.093360,A1_16,0.017
,,00116.093440,A1_53,0.089
,,00116.093440,A1_56,0.034
,,00116.093680,A1_21,0.037
,,00116.093680,A1_24,0.057
,,00116.093840,A1_75,0.03
,,00116.094000,A1_27,0.042
,,00116.094000,A1_38,0.085
,,00116.094000,A1_66,0.068
,,00116.094080,A1_55,0.037
,,00116.094240,A1_76,0.048
,,00116.094320,A1_33,0.047
,,00116.094400,A1_34,0.04
,,00116.094480,A1_23,0.054
,,00116.094480,A1_51,0.055
,,00116.094480,A1_88,0.045
,,00116.094560,A1_42,0.033
,,00116.094560,A1_57,0.043
,,00116.094720,A1_63,0.026
,,00116.094720,A1_64,0.047
,,00116.094720,A1_74,0.083
,,00116.094800,A1_36,0.086
,,00116.094800,A1_67,0.15
,,00116.094800,A1_87,0.037
,,00116.094880,A1_78,0.033
,,00116.095040,A1_62,0.071
,,00116.095200,A1_11,0.046
,,00116.095200,A1_46,0.054
,,00116.095280,A1_22,0.054
,,00116.095280,A1_26,0.033
,,00116.095440,A1_47,0.029
,,00116.095440,A1_73,0.038
,,00116.095520,A1_84,0.034
,,00116.095680,A1_44,0.045
,,00116.095680,A1_65,0.12
,,00116.095680,A1_85,0.029
,,00116.095840,A1_82,0.133
,,00116.095920,A1_24,0.025
,,00116.095920,A1_83,0.043
,,00116.096000,A1_53,0.034
,,00116.096080,A1_15,0.038
,,00116.096080,A1_52,0.038
,,00116.096240,A1_75,0.06
,,00116.096480,A1_81,0.02
,,00116.096560,A1_21,0.038
,,00116.096640,A1_76,0.039
,,00116.096640,A1_86,0.041
,,00116.096720,A1_12,0.033
,,00116.096720,A1_31,0.042
,,00116.096720,A1_35,0.033
,,00116.096800,A1_18,0.05
,,00116.097040,A1_55,0.036
,,00116.097040,A1_58,0.041
,,00116.097040,A1_66,0.068
,,00116.097120,A1_54,0.068
,,00116.097200,A1_28,0.035
,,00116.097200,A1_63,0.048
,,00116.097200,A1_67,0.033
,,00116.097280,A1_38,0.063
,,00116.097360,A1_23,0.067
,,00116.097440,A1_74,0.05
,,00116.097440,A1_88,0.056
,,00116.097520,A1_26,0.036
,,00116.097600,A1_64,0.033
,,00116.097680,A1_36,0.035
,,00116.097680,A1_46,0.034
,,00116.097760,A1_33,0.025
,,00116.097840,A1_62,0.054
,,00116.097840,A1_71,0.038
,,00116.097840,A1_78,0.048
,,00116.097920,A1_57,0.03
,,00116.098000,A1_17,0.028
,,00116.098080,A1_11,0.056
,,00116.098080,A1_73,0.045
,,00116.098160,A1_65,0.11
,,00116.098240,A1_24,0.027
,,00116.098240,A1_48,0.039
,,00116.098240,A1_53,0.038
,,00116.098320,A1_82,0.086
,,00116.098480,A1_25,0.031
,,00116.098480,A1_77,0.035
,,00116.098640,A1_52,0.071
,,00116.098720,A1_72,0.13
,,00116.098720,A1_75,0.057
,,00116.098880,A1_81,0.022
,,00116.098880,A1_86,0.05
,,00116.098960,A1_32,0.033
,,00116.098960,A1_44,0.055
,,00116.099200,A1_15,0.054
,,00116.099280,A1_12,0.027
,,00116.099280,A1_51,0.394
,,00116.099280,A1_83,0.047
,,00116.099360,A1_18,0.067
,,00116.099360,A1_31,0.049
,,00116.099440,A1_66,0.075
,,00116.099440,A1_68,0.037
,,00116.099680,A1_42,0.048
,,00116.099760,A1_41,0.032
,,00116.099920,A1_23,0.079
,,00116.099920,A1_74,0.036
,,00116.099920,A1_88,0.04
,,00116.100000,A1_54,0.045
,,00116.100080,A1_13,0.036
,,00116.100160,A1_34,0.032
,,00116.100240,A1_55,0.05
,,00116.100240,A1_58,0.033
,,00116.100240,A1_63,0.045
,,00116.100320,A1_26,0.03
,,00116.100320,A1_71,0.035
,,00116.100320,A1_78,0.035
,,00116.100400,A1_57,0.042
,,00116.100560,A1_65,0.081
,,00116.100720,A1_17,0.035
,,00116.100800,A1_46,0.041
,,00116.100800,A1_73,0.047
,,00116.100880,A1_82,0.073
,,00116.100960,A1_28,0.023
,,00116.100960,A1_45,0.05
,,00116.100960,A1_64,0.069
,,00116.101040,A1_25,0.048
,,00116.101120,A1_14,0.05
,,00116.101120,A1_33,0.047
,,00116.101200,A1_44,0.062
,,00116.101200,A1_53,0.065
,,00116.101280,A1_11,0.055
,,00116.101280,A1_38,0.041
,,00116.101280,A1_75,0.058
,,00116.101520,A1_15,0.043
,,00116.101520,A1_52,0.073
,,00116.101600,A1_18,0.038
,,00116.101600,A1_24,0.051
,,00116.101680,A1_16,0.031
,,00116.101680,A1_48,0.052
,,00116.101680,A1_51,0.095
,,00116.101920,A1_22,0.052
,,00116.102000,A1_41,0.02
,,00116.102000,A1_67,0.03
,,00116.102160,A1_76,0.027
,,00116.102320,A1_13,0.028
,,00116.102400,A1_32,0.047
,,00116.102560,A1_21,0.073
,,00116.102560,A1_26,0.029
,,00116.102560,A1_54,0.118
,,00116.102640,A1_68,0.025
,,00116.102720,A1_23,0.079
,,00116.102800,A1_37,0.031
,,00116.102800,A1_72,0.074
,,00116.102880,A1_66,0.094
,,00116.102880,A1_71,0.061
,,00116.103200,A1_88,0.067
,,00116.103280,A1_12,0.067
,,00116.103280,A1_82,0.11
,,00116.103360,A1_57,0.048
,,00116.103360,A1_65,0.088
,,00116.103520,A1_14,0.047
,,00116.103600,A1_75,0.054
,,00116.103680,A1_35,0.132
,,00116.103760,A1_11,0.072
,,00116.103840,A1_38,0.071
,,00116.104000,A1_25,0.04
,,00116.104000,A1_31,0.037
,,00116.104000,A1_52,0.056
,,00116.104160,A1_77,0.03
,,00116.104240,A1_15,0.054
,,00116.104240,A1_18,0.026
,,00116.104240,A1_22,0.045
,,00116.104400,A1_16,0.031
,,00116.104400,A1_53,0.025
,,00116.104560,A1_83,0.03
,,00116.104640,A1_76,0.058
,,00116.104720,A1_36,0.065
,,00116.104720,A1_74,0.035
,,00116.104800,A1_61,0.046
,,00116.104800,A1_67,0.15
,,00116.104960,A1_21,0.036
,,00116.104960,A1_26,0.046
,,00116.104960,A1_54,0.071
,,00116.105120,A1_23,0.074
,,00116.105200,A1_13,0.05
,,00116.105280,A1_72,0.102
,,00116.105520,A1_88,0.072
,,00116.105600,A1_57,0.115
,,00116.105600,A1_66,0.09
,,00116.105600,A1_73,0.035
,,00116.105680,A1_56,0.043
,,00116.105680,A1_82,0.127
,,00116.105760,A1_32,0.052
,,00116.105760,A1_68,0.059
,,00116.106000,A1_75,0.109
,,00116.106080,A1_33,0.037
,,00116.106080,A1_65,0.088
,,00116.106240,A1_52,0.066
,,00116.106320,A1_28,0.038
,,00116.106480,A1_27,0.042
,,00116.106480,A1_55,0.086
,,00116.106480,A1_63,0.032
,,00116.106560,A1_18,0.039
,,00116.106640,A1_78,0.028
,,00116.106800,A1_53,0.067
,,00116.106800,A1_83,0.038
,,00116.106880,A1_12,0.072
,,00116.106880,A1_46,0.129
,,00116.107120,A1_24,0.057
,,00116.107120,A1_35,0.045
,,00116.107200,A1_54,0.056
,,00116.107200,A1_84,0.046
,,00116.107280,A1_22,0.051
,,00116.107280,A1_45,0.073
,,00116.107280,A1_86,0.066
,,00116.107520,A1_13,0.058
,,00116.107520,A1_37,0.029
,,00116.107600,A1_72,0.065
,,00116.107680,A1_23,0.052
,,00116.107760,A1_16,0.03
,,00116.107760,A1_26,0.038
,,00116.108000,A1_88,0.108
,,00116.108080,A1_17,0.037
,,00116.108080,A1_62,0.044
,,00116.108160,A1_56,0.05
,,00116.108160,A1_82,0.135
,,00116.108320,A1_66,0.095
,,00116.108400,A1_34,0.042
,,00116.108400,A1_57,0.023
,,00116.108400,A1_73,0.045
,,00116.108640,A1_71,0.048
,,00116.109040,A1_53,0.045
,,00116.109200,A1_64,0.051
,,00116.109200,A1_76,0.04
,,00116.109280,A1_61,0.069
,,00116.109680,A1_58,0.033
,,00116.109680,A1_78,0.078
,,00116.109760,A1_87,0.033
,,00116.109840,A1_86,0.047
,,00116.110000,A1_11,0.047
,,00116.110000,A1_23,0.069
,,00116.110000,A1_54,0.067
,,00116.110160,A1_21,0.034
,,00116.110160,A1_22,0.045
,,00116.110160,A1_45,0.044
,,00116.110240,A1_14,0.03
,,00116.110240,A1_44,0.064
,,00116.110320,A1_13,0.022
,,00116.110320,A1_88,0.108
,,00116.110400,A1_16,0.022
,,00116.110400,A1_74,0.079
,,00116.110400,A1_81,0.039
,,00116.110480,A1_26,0.033
,,00116.110480,A1_35,0.041
,,00116.110560,A1_82,0.061
,,00116.110640,A1_15,0.029
,,00116.110640,A1_25,0.043
,,00116.110640,A1_56,0.032
,,00116.110720,A1_17,0.047
,,00116.110800,A1_72,0.049
,,00116.110880,A1_27,0.033
,,00116.110880,A1_62,0.076
,,00116.110880,A1_85,0.037
,,00116.110960,A1_32,0.039
,,00116.111040,A1_73,0.045
,,00116.111120,A1_31,0.049
,,00116.111120,A1_37,0.024
,,00116.111120,A1_66,0.093
,,00116.111200,A1_57,0.036
,,00116.111280,A1_48,0.066
,,00116.111360,A1_51,0.074
,,00116.111360,A1_84,0.053
,,00116.111440,A1_55,0.045
,,00116.111440,A1_64,0.051
,,00116.111520,A1_33,0.074
,,00116.111520,A1_53,0.047
,,00116.111520,A1_65,0.114
,,00116.111600,A1_36,0.035
,,00116.111600,A1_71,0.04
,,00116.111680,A1_52,0.069
,,00116.111680,A1_61,0.038
,,00116.111840,A1_46,0.016
,,00116.111920,A1_63,0.036
,,00116.111920,A1_83,0.042
,,00116.112000,A1_47,0.073
,,00116.112000,A1_78,0.069
,,00116.112080,A1_18,0.075
,,00116.112080,A1_24,0.066
,,00116.112240,A1_11,0.085
,,00116.112240,A1_75,0.042
,,00116.112320,A1_38,0.08
,,00116.112400,A1_54,0.114
,,00116.112400,A1_86,0.045
,,00116.112480,A1_21,0.068
,,00116.112560,A1_14,0.031
,,00116.112560,A1_44,0.091
,,00116.112800,A1_88,0.054
,,00116.112880,A1_58,0.074
,,00116.113120,A1_62,0.054
,,00116.113280,A1_45,0.045
,,00116.113520,A1_27,0.041
,,00116.113520,A1_66,0.092
,,00116.113680,A1_12,0.033
,,00116.113760,A1_51,0.25
,,00116.113840,A1_32,0.06
,,00116.113840,A1_84,0.044
,,00116.113920,A1_52,0.049
,,00116.113920,A1_53,0.121
,,00116.114000,A1_71,0.05
,,00116.114080,A1_34,0.044
,,00116.114160,A1_42,0.037
,,00116.114160,A1_55,0.084
,,00116.114160,A1_76,0.075
,,00116.114240,A1_48,0.047
,,00116.114400,A1_41,0.025
,,00116.114400,A1_65,0.115
,,00116.114560,A1_28,0.027
,,00116.114560,A1_64,0.044
,,00116.114640,A1_57,0.05
,,00116.114720,A1_33,0.045
,,00116.114720,A1_46,0.05
,,00116.114800,A1_38,0.059
,,00116.114880,A1_44,0.051
,,00116.114880,A1_74,0.078
,,00116.114960,A1_54,0.044
,,00116.115120,A1_14,0.038
,,00116.115200,A1_88,0.053
,,00116.115280,A1_21,0.058
,,00116.115280,A1_47,0.036
,,00116.115280,A1_67,0.093
,,00116.115360,A1_62,0.051
,,00116.115440,A1_23,0.079
,,00116.115440,A1_25,0.056
,,00116.115520,A1_58,0.065
,,00116.115520,A1_78,0.074
,,00116.115520,A1_86,0.083
,,00116.115840,A1_35,0.055
,,00116.115840,A1_82,0.128
,,00116.116000,A1_11,0.074
,,00116.116000,A1_51,0.073
,,00116.116080,A1_15,0.056
,,00116.116080,A1_16,0.044
,,00116.116160,A1_81,0.027
,,00116.116400,A1_27,0.051
,,00116.116400,A1_55,0.047
,,00116.116480,A1_45,0.058
,,00116.116480,A1_52,0.085
,,00116.116560,A1_71,0.032
,,00116.116640,A1_18,0.036
,,00116.116720,A1_76,0.05
,,00116.116800,A1_26,0.038
,,00116.116800,A1_36,0.045
,,00116.116800,A1_63,0.035
,,00116.117040,A1_24,0.051
,,00116.117040,A1_84,0.035
,,00116.117120,A1_56,0.028
,,00116.117280,A1_33,0.049
,,00116.117360,A1_46,0.058
,,00116.117360,A1_54,0.082
,,00116.117440,A1_73,0.033
,,00116.117600,A1_44,0.061
,,00116.117600,A1_47,0.039
,,00116.117600,A1_88,0.104
,,00116.117680,A1_32,0.055
,,00116.117680,A1_37,0.047
,,00116.117760,A1_21,0.045
,,00116.117760,A1_23,0.042
,,00116.117840,A1_58,0.034
,,00116.117840,A1_74,0.055
,,00116.117840,A1_75,0.056
,,00116.118000,A1_13,0.046
,,00116.118000,A1_38,0.098
,,00116.118320,A1_22,0.055
,,00116.118320,A1_35,0.043
,,00116.118400,A1_51,0.061
,,00116.118480,A1_11,0.053
,,00116.118480,A1_31,0.045
,,00116.118480,A1_83,0.042
,,00116.118560,A1_68,0.04
,,00116.118960,A1_42,0.024
,,00116.118960,A1_67,0.06
,,00116.119040,A1_71,0.072
,,00116.119360,A1_27,0.04
,,00116.119360,A1_66,0.047
,,00116.119440,A1_24,0.054
,,00116.119520,A1_26,0.034
,,00116.119680,A1_15,0.029
,,00116.119680,A1_48,0.043
,,00116.119680,A1_53,0.041
,,00116.119760,A1_46,0.048
,,00116.119760,A1_72,0.099
,,00116.119840,A1_33,0.026
,,00116.119840,A1_36,0.051
,,00116.119840,A1_61,0.035
,,00116.119920,A1_32,0.031
,,00116.120080,A1_47,0.046
,,00116.120080,A1_64,0.037
,,00116.120240,A1_78,0.073
,,00116.120320,A1_56,0.036
,,00116.120320,A1_73,0.03
,,00116.120480,A1_54,0.039
,,00116.120480,A1_88,0.059
,,00116.120560,A1_12,0.028
,,00116.120560,A1_45,0.039
,,00116.120560,A1_75,0.07
,,00116.120640,A1_44,0.077
,,00116.120880,A1_63,0.031
,,00116.120960,A1_38,0.072
,,00116.121120,A1_11,0.069
,,00116.121120,A1_25,0.043
,,00116.121120,A1_31,0.029
,,00116.121280,A1_71,0.031
,,00116.121360,A1_14,0.032
,,00116.121360,A1_18,0.061
,,00116.121360,A1_42,0.038
,,00116.121520,A1_65,0.044
,,00116.121600,A1_57,0.111
,,00116.121600,A1_82,0.115
,,00116.121680,A1_86,0.049
,,00116.121760,A1_55,0.065
,,00116.121840,A1_24,0.038
,,00116.121840,A1_66,0.048
,,00116.122240,A1_15,0.055
,,00116.122400,A1_62,0.065
,,00116.122480,A1_76,0.07
,,00116.122560,A1_61,0.026
,,00116.122640,A1_23,0.075
,,00116.122640,A1_34,0.096
,,00116.122640,A1_78,0.039
,,00116.122800,A1_54,0.059
,,00116.122800,A1_58,0.088
,,00116.122960,A1_13,0.041
,,00116.123040,A1_46,0.046
,,00116.123120,A1_64,0.043
,,00116.123120,A1_68,0.042
,,00116.123120,A1_84,0.052
,,00116.123200,A1_22,0.062
,,00116.123200,A1_45,0.026
,,00116.123200,A1_51,0.065
,,00116.123440,A1_38,0.055
,,00116.123520,A1_27,0.044
,,00116.123680,A1_14,0.041
,,00116.123680,A1_47,0.034
,,00116.123680,A1_81,0.035
,,00116.123840,A1_11,0.058
,,00116.123840,A1_71,0.064
,,00116.123840,A1_75,0.044
,,00116.123920,A1_42,0.026
,,00116.124000,A1_65,0.046
,,00116.124080,A1_24,0.058
,,00116.124080,A1_86,0.052
,,00116.124240,A1_55,0.105
,,00116.124240,A1_66,0.052
,,00116.124400,A1_26,0.026
,,00116.124400,A1_52,0.041
,,00116.124400,A1_82,0.039
,,00116.124480,A1_15,0.062
,,00116.124480,A1_72,0.072
,,00116.124560,A1_44,0.031
,,00116.124560,A1_53,0.052
,,00116.124640,A1_16,0.04
,,00116.124640,A1_62,0.039
,,00116.124720,A1_48,0.058
,,00116.124720,A1_76,0.049
,,00116.124800,A1_77,0.028
,,00116.124880,A1_36,0.036
,,00116.124880,A1_67,0.136
,,00116.124880,A1_78,0.074
,,00116.125040,A1_85,0.035
,,00116.125200,A1_57,0.043
,,00116.125200,A1_58,0.053
,,00116.125280,A1_34,0.028
,,00116.125280,A1_54,0.046
,,00116.125520,A1_22,0.038
,,00116.125600,A1_13,0.032
,,00116.125760,A1_46,0.039
