Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00001.001600,D6_13,60,0.33832
,,00001.024240,D6_23,45,0.36488
,,00001.000240,D6_34,49,0.376
,,00001.371760,D1_22,5,0.1192
,,00000.865200,A1_23,79,0.6104
,,00001.500480,A1_14,14,0.09792
,,00001.425760,B2_32,9,0.1144
,,00001.394960,B2_42,8,0.20456
,,00001.367520,C3_32,6,0.20216
,,00000.781520,B3_24,243,0.79064
,,00001.334640,A3_22,19,0.29936
,,00000.420320,B4_34,188,1.0672
,,00001.122160,B4_24,18,0.31816
,,00001.500240,B4_41,11,0.14016
,,00001.325360,C4_23,11,0.11472
,,00001.362000,D4_33,33,0.21904
,,00000.166560,D4_22,199,1.32624
,,00001.500960,B5_33,29,0.1468
,,00001.250480,B5_34,19,0.16088
,,00001.517520,B5_34,9,0.12296
,,00001.403280,C5_11,5,0.06088
,,00000.166080,C5_22,373,1.4744
,,00000.572720,A6_12,133,0.87144
,,00000.405360,A6_13,345,1.22384
,,00000.473760,A6_24,292,1.17312
,,00001.254400,A6_21,17,0.238
,,00000.448640,B6_23,281,1.02512
,,00001.500080,C6_13,10,0.12504
,,00001.005200,C6_34,109,0.524
,,00001.509120,D6_23,6,0.14024
,,00000.381680,D1_11,296,1.31968
,,00001.329760,D1_44,15,0.3612
,,00001.759520,D1_42,5,0.06976
,,00000.342240,C1_12,390,1.44544
,,00001.363680,C1_22,22,0.46832
,,00000.248480,C1_23,444,1.62744
,,00001.760960,C1_34,9,0.08472
,,00000.146560,A1_31,472,1.69048
,,00000.853840,A1_22,79,0.84008
,,00000.043600,D2_22,286,1.64272
,,00001.149920,D2_44,44,0.53528
,,00000.103200,D2_42,565,1.7228
,,00001.469920,C2_31,56,0.35624
,,00000.385920,C2_34,370,1.44344
,,00001.500080,C2_32,40,0.32608
,,00001.173600,C2_43,42,0.49552
,,00001.235920,B2_24,28,0.48656
,,00000.088320,B2_34,182,1.58336
,,00001.250960,A2_42,102,0.58448
,,00001.347440,D3_24,41,0.48776
,,00001.750960,C3_41,14,0.07408
,,00001.627760,C3_33,8,0.12064
,,00001.572160,B3_34,6,0.11288
,,00001.670320,A3_24,5,0.07568
,,00000.501920,A4_14,267,1.24624
,,00000.366720,A4_24,273,1.3732
,,00000.120960,A4_32,285,1.56344
,,00001.687920,A4_22,7,0.07696
,,00001.214240,A5_33,37,0.52688
