Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00155.361680,B3_22,6,0.05608
,,00155.212000,A3_34,8,0.21712
,,00155.524400,C3_22,8,0.16408
,,00155.504960,C3_43,5,0.21664
,,00156.654160,B4_13,7,0.06176
,,00156.652640,B4_33,8,0.07944
,,00156.652800,B4_23,17,0.16624
,,00156.537760,B4_31,11,0.27832
,,00156.398320,A5_24,8,0.26304
,,00156.570480,B4_43,37,0.33224
,,00157.402560,B5_12,5,0.1152
,,00160.337520,A3_34,7,0.11848
,,00160.762880,D1_31,5,0.16416
,,00160.863680,D1_33,5,0.1068
,,00160.694720,D1_42,18,0.29464
,,00161.094880,D1_42,5,0.09936
,,00161.316960,D1_42,8,0.30856
,,00162.601120,A5_13,5,0.20584
,,00163.024240,D1_42,9,0.27256
,,00163.070720,A3_34,14,0.29648
,,00162.859840,A5_24,10,0.31288
,,00164.030400,C3_22,11,0.21576
,,00166.131520,D4_21,13,0.17224
,,00167.028320,D1_42,5,0.21608
,,00168.668400,A5_13,7,0.38448
,,00168.992320,A5_24,9,0.27408
,,00169.484640,B2_32,7,0.2212
,,00170.342560,A3_34,5,0.09464
,,00173.002800,A1_41,5,0.09536
,,00173.315120,C4_42,5,0.17168
,,00174.156160,D3_12,5,0.16376
,,00174.855120,D4_43,9,0.16368
,,00174.922480,D4_21,5,0.1084
,,00175.086320,B6_23,5,0.26376
,,00175.081600,B6_21,7,0.20752
,,00175.196640,D4_21,13,0.4232
,,00175.705760,D1_42,5,0.14432
,,00175.774960,A5_13,8,0.2224
,,00176.021040,A3_34,6,0.18368
,,00175.983920,A5_24,7,0.176
,,00177.853920,D1_42,6,0.14456
,,00178.859840,C3_22,6,0.1248
,,00179.919440,B1_14,7,0.18784
,,00180.917040,A5_13,9,0.4928
,,00181.461120,A5_24,10,0.33928
,,00183.226080,D3_12,5,0.15992
,,00183.270000,D3_42,7,0.11392
,,00182.971680,C3_43,7,0.25616
,,00183.930960,D4_21,9,0.16688
,,00184.162080,B3_22,7,0.08648
,,00183.991520,D4_43,7,0.17032
,,00187.716640,D3_42,6,0.19704
,,00188.303280,A5_13,7,0.25224
,,00188.415280,B5_14,7,0.20056
,,00188.398560,B5_13,5,0.18896
,,00188.466720,B5_24,8,0.12056
,,00188.413840,B5_42,6,0.12384
,,00188.392560,B5_22,14,0.22968
,,00188.407440,B5_23,22,0.39448
,,00188.381040,B5_44,57,0.42064
,,00188.397280,B5_12,65,0.61088
,,00188.702000,B5_24,7,0.2352
,,00189.459760,B5_23,5,0.13024
,,00189.370160,B5_12,17,0.36184
