Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00175.630000,C3_22,16,0.53384
,,00177.303280,A1_41,10,0.09592
,,00177.304720,A1_43,5,0.09808
,,00177.438800,C3_24,6,0.06296
,,00177.397200,C3_43,9,0.09168
,,00178.096000,D4_32,6,0.18456
,,00178.099120,D4_21,11,0.15896
,,00179.426240,D2_21,6,0.09248
,,00180.071200,B3_22,9,0.0724
,,00179.953040,A6_24,9,0.108
,,00180.956080,A2_33,7,0.16248
,,00180.778160,A2_44,24,0.45336
,,00181.333440,A2_44,18,0.39112
,,00182.300640,C3_43,7,0.0228
,,00183.061360,B5_13,6,0.13336
,,00183.105200,B5_11,5,0.11112
,,00183.090720,B5_23,11,0.2852
,,00183.030960,B5_42,9,0.18144
,,00183.065040,B5_22,11,0.16888
,,00183.079360,B5_24,17,0.5044
,,00182.993440,B5_12,64,0.684
,,00183.069120,B5_44,87,0.65408
,,00183.811360,B5_12,9,0.31256
,,00183.840400,B5_22,5,0.16336
,,00184.516480,D4_32,12,0.1164
,,00184.472880,D4_44,12,0.16888
,,00184.515520,D4_31,6,0.0596
,,00184.470880,D4_43,20,0.18192
,,00184.441600,D4_21,29,0.27424
,,00184.785120,B5_13,5,0.11432
,,00184.873760,B5_42,5,0.1912
,,00184.776960,B5_22,22,0.4596
,,00184.943040,D5_33,17,0.25848
,,00185.077680,D5_43,5,0.14608
,,00185.077280,D5_41,10,0.1392
,,00184.897920,B5_23,20,0.5172
,,00184.864240,B5_44,89,0.61088
,,00184.724480,B5_12,114,1.05408
,,00185.768640,C3_43,5,0.23096
,,00185.978240,D4_43,9,0.24296
,,00186.101360,D4_32,5,0.08368
,,00186.038320,D4_44,9,0.1908
,,00186.114240,D4_21,14,0.12968
,,00186.282800,A2_44,7,0.24816
,,00187.420560,B6_23,8,0.1732
,,00187.750560,C3_24,7,0.06352
,,00188.136080,A2_44,7,0.27424
,,00188.468400,D2_34,11,0.39952
,,00188.629120,D2_21,29,0.512
,,00188.711520,A2_44,6,0.23568
,,00189.090240,B3_22,9,0.16752
,,00189.097680,B3_32,5,0.10384
,,00189.991040,B1_21,5,0.04064
,,00189.954800,B1_31,17,0.16832
,,00189.945200,B1_13,6,0.11384
,,00189.987920,B1_32,5,0.02352
,,00189.935840,B1_43,33,0.18976
,,00189.751760,B1_14,67,1.04288
,,00190.925760,D2_34,8,0.15096
,,00190.939120,B1_14,17,0.5324
,,00192.500800,D1_42,9,0.11936
,,00192.873600,A1_41,13,0.20424
,,00193.053600,D1_42,6,0.18968
,,00193.189760,A1_41,19,0.30352
,,00193.183520,A1_43,20,0.4628
,,00193.666960,A2_44,12,0.27216
,,00194.650560,A1_43,10,0.32024
,,00195.921360,B3_22,13,0.11952
,,00195.943520,B3_32,7,0.1184
,,00196.704960,A2_44,5,0.1248
,,00196.825840,C3_24,6,0.04872
,,00198.841280,A2_44,6,0.14632
,,00198.829040,A5_13,8,0.22784
,,00199.178400,A5_13,11,0.4076
,,00199.738960,A5_13,5,0.15528
,,00200.151040,A2_44,14,0.24624
,,00200.326320,A5_13,6,0.24592
,,00201.652800,C3_12,6,0.1228
,,00201.727920,C3_22,6,0.12368
,,00201.686720,C3_24,7,0.07056
,,00201.659920,C3_43,8,0.03136
,,00201.700160,A5_13,5,0.08288
,,00201.529840,A6_23,7,0.1736
,,00201.547760,A6_24,5,0.12088
,,00204.348160,A2_44,10,0.1812
,,00205.037120,B3_22,8,0.10744
,,00204.762080,A3_34,14,0.16432
,,00205.665120,A3_34,14,0.40784
,,00206.808640,B5_44,10,0.06104
,,00206.775280,B5_22,8,0.09536
,,00206.801760,D5_41,8,0.07688
,,00206.770000,B5_12,13,0.13456
,,00206.760480,D5_33,14,0.18744
,,00206.766080,D5_43,5,0.21224
,,00206.763280,D5_21,9,0.24744
,,00206.993920,D5_12,6,0.2804
,,00207.458720,B1_14,5,0.08384
,,00207.780080,B1_21,7,0.06944
,,00207.765520,B1_31,10,0.07904
,,00207.775920,B1_12,9,0.09744
,,00207.730560,B1_13,7,0.1192
