Investigator,Yossi,Time (s),Electrode,Amplitude (mV),,
,,686.41072,A3_15,0.008,,
,,686.4108,A2_57,0.012,,
,,686.4108,A2_86,0.014,,
,,686.4108,B1_11,0.01,,
,,686.41088,A1_51,0.013,,
,,686.41096,A1_11,0.012,,
,,686.41104,B1_24,0.012,,
,,686.41112,B1_35,0.013,,
,,686.41168,A3_16,0.015,,
,,686.41176,A2_73,0.014,,
,,686.41184,A2_67,0.014,,
,,686.41192,B3_26,0.015,,
,,686.412,B1_33,0.016,,
,,686.41216,A2_21,0.01,,
,,686.4124,B3_52,0.006,,
,,686.41256,B3_16,0.005,,
,,686.41288,A3_25,0.005,,
,,686.41288,A3_28,0.005,,
,,686.41288,A3_35,0.009,,
,,686.41288,B3_34,0.006,,
,,686.41296,B2_65,0.008,,
,,686.41296,B3_47,0.009,,
,,686.41312,B1_13,0.009,,
,,686.41312,B1_25,0.005,,
,,686.41312,B1_43,0.007,,
,,686.41312,B1_54,0.003,,
,,686.4132,A1_17,0.007,,
,,686.4132,B3_83,0.007,,
,,686.41328,A1_58,0.007,,
,,686.41328,B1_87,0.009,,
,,686.41344,A2_61,0.007,,
,,686.41344,B1_23,0.007,,
,,686.41352,A1_76,0.01,,
,,686.41352,A2_82,0.01,,
,,686.41352,B1_32,0.007,,
,,686.41352,B2_27,0.007,,
,,686.41352,B2_51,0.008,,
,,686.41352,B2_55,0.009,,
,,686.41368,A2_11,0.009,,
,,686.41376,A3_45,0.009,,
,,686.41392,A2_37,0.008,,
,,686.41392,B1_46,0.009,,
,,686.41392,B1_63,0.008,,
,,686.414,B2_32,0.009,,
,,686.41432,A2_16,0.008,,
,,686.41432,A2_27,0.007,,
,,686.41448,A2_14,0.016,,
,,686.41448,B3_63,0.012,,
,,686.41456,B1_38,0.009,,
,,686.41456,B1_71,0.013,,
,,686.41472,A2_24,0.016,,
,,686.41488,B3_71,0.007,,
,,686.41504,B1_62,0.01,,
,,694.11544,B3_64,0.011,,
,,700.49664,A1_14,0.013,,
,,700.4972,A1_81,0.07,,
,,700.4972,A2_37,0.013,,
,,700.4972,B1_62,0.076,,
,,700.4972,B3_81,0.067,,
,,700.49728,A2_81,0.062,,
,,700.49728,A3_81,0.059,,
,,700.49728,B1_34,0.01,,
,,700.49736,B2_71,0.014,,
,,700.49744,A3_84,0.013,,
,,700.49784,A2_28,0.014,,
,,700.49872,B2_81,0.009,,
,,700.50008,B1_88,0.013,,
,,700.5096,A1_62,0.011,,
,,700.5096,B2_62,0.007,,
,,700.50976,B2_53,0.008,,
,,700.50992,B2_42,0.008,,
,,700.51008,B1_53,0.012,,
,,700.51016,A1_37,0.007,,
,,700.51016,B1_17,0.014,,
,,700.51016,B1_37,0.009,,
,,700.51016,B3_53,0.011,,
,,700.51016,B3_65,0.013,,
,,700.51024,B1_55,0.012,,
,,700.51024,B3_31,0.007,,
,,700.51032,A1_28,0.008,,
,,700.51032,A1_38,0.007,,
,,700.51032,B2_44,0.006,,
,,700.5104,A1_73,0.011,,
,,700.5104,B3_13,0.007,,
,,700.51056,B2_22,0.011,,
,,700.51064,A1_52,0.013,,
,,700.51064,A3_41,0.009,,
,,700.51064,A3_44,0.009,,
,,700.51072,A1_27,0.008,,
,,700.5108,B1_85,0.01,,
,,700.51088,B2_25,0.01,,
,,700.51088,B3_21,0.011,,
,,700.51104,A2_85,0.012,,
,,700.51104,B1_11,0.01,,
,,700.51168,B2_24,0.011,,
,,700.51176,A1_71,0.008,,
,,700.51176,A2_36,0.015,,
,,700.51176,A2_86,0.014,,
,,700.51192,B3_85,0.019,,
,,700.512,B1_18,0.015,,
,,700.512,B2_74,0.015,,
,,700.51224,A2_83,0.014,,
,,700.5124,A1_61,0.008,,
,,700.51256,B3_16,0.005,,
,,700.51264,A3_25,0.007,,
,,700.51264,B3_52,0.007,,
,,700.5128,B3_34,0.006,,
,,700.51288,A3_28,0.004,,
,,700.51288,B3_41,0.006,,
,,700.51288,B3_47,0.007,,
,,700.5132,B1_43,0.005,,
,,700.5132,B2_34,0.006,,
,,700.5132,B3_14,0.009,,
,,700.5132,B3_28,0.008,,
,,700.5132,B3_37,0.007,,
,,700.51328,A3_48,0.006,,
,,700.51328,B1_87,0.005,,
,,700.51328,B2_11,0.007,,
,,700.51336,A3_16,0.007,,
,,700.51336,B1_23,0.009,,
,,700.51336,B3_76,0.007,,
,,700.51344,B1_25,0.01,,
