Electrode,Mean,STD
D6_31,0.12285714285714286,1.5997474290445648
D4_21,0.14,1.54562978380058
D5_42,0.08285714285714285,1.1983287682162578
A1_24,10.711428571428572,9.418197323072315
D3_13,0.08,1.131067763537749
D4_34,0.04,0.4823750763521208
B1_33,0.10285714285714286,1.5177964693755812
B2_24,10.28,6.553202052650073
A1_43,0.16285714285714287,2.3783050043839107
B6_14,0.12857142857142856,1.8136106730688888
B6_44,0.08285714285714285,1.1446735565305979
D1_13,0.23142857142857143,1.8549195482856509
C3_42,0.045714285714285714,0.6745762086113696
B6_31,0.11142857142857143,1.5275136526995994
C4_24,0.014285714285714285,0.21992577597629503
A5_44,0.06285714285714286,0.8595964881553317
C3_32,0.06,0.8940118247859716
C5_44,0.07714285714285714,1.0729360823155751
C1_22,4.511428571428572,3.1800513408767865
A5_43,0.13142857142857142,1.8912990892235837
A2_33,0.23714285714285716,1.57418200332485
B1_44,0.10571428571428572,1.4785017236847495
B1_31,0.14,2.0100746254803576
C4_41,0.054285714285714284,0.7633920008349416
B2_34,0.09142857142857143,1.3170034013561522
A2_34,0.06,0.7205949922509474
A3_32,0.08285714285714285,1.0564051480065277
B6_23,0.08285714285714285,1.1983287682162578
A4_22,0.07714285714285714,1.1648631346424265
A1_34,0.07142857142857142,1.0017331919004688
D2_34,0.07714285714285714,0.975290642185546
D4_23,0.10285714285714286,1.4854505260378492
C1_43,0.3742857142857143,1.9999775508944175
D6_11,0.1,1.4516001023501124
B1_12,0.045714285714285714,0.6745762086113696
B5_44,0.09714285714285714,1.3863592019151074
C6_13,0.08857142857142856,1.3713958329425702
