Investigator,Alberto,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,00519.143280,D4,80,2.0316,7,11.428571,8.764492
,,00522.162880,D5,357,0.5204,14,25.5,18.006943
,,00523.365280,A1,419,0.3652,16,26.1875,17.234482
,,00525.291520,A6,57,0.29632,12,4.75,2.802529
,,00525.582240,A4,586,0.40328,16,36.625,18.285496
,,00526.173040,C5,435,0.53288,15,29,19.176374
,,00526.546880,A5,598,0.50336,16,37.375,15.467203
,,00526.683200,C6,99,0.49096,14,7.071429,5.612031
,,00526.947680,A4,87,1.83096,11,7.909091,8.79519
,,00532.372560,D2,254,0.3956,14,18.142857,10.71619
,,00533.380160,C2,432,0.63872,15,28.8,16.79365
,,00534.322400,A3,223,0.45064,15,14.866667,8.317585
,,00534.772880,B6,532,0.62352,16,33.25,14.549484
,,00534.832320,D4,104,0.66848,13,8,9.0893
,,00535.728800,A6,179,0.28248,16,11.1875,7.699178
,,00535.834480,D1,64,0.29136,10,6.4,5.969925
,,00537.842480,D5,116,0.1732,12,9.666667,6.073622
,,00538.026960,D3,294,0.3652,16,18.375,12.444251
,,00539.493840,A4,88,0.4292,13,6.769231,7.061857
,,00542.261840,D5,89,0.24088,11,8.090909,5.534266
,,00544.967200,A1,329,0.44056,16,20.5625,15.206778
,,00545.209920,A3,224,0.3552,14,16,8.358059
,,00545.695440,A6,344,0.37344,16,21.5,11.263881
,,00546.828080,A5,153,0.37672,15,10.2,8.82572
,,00548.901680,C6,564,0.402,16,35.25,14.454671
,,00549.144240,A6,138,0.54024,16,8.625,7.944141
,,00549.599360,A2,520,0.37824,16,32.5,14.111166
,,00552.491760,C1,74,0.36912,11,6.727273,7.072237
,,00551.658480,C6,55,1.2032,8,6.875,3.756245
,,00552.913680,D4,138,0.42144,15,9.2,9.424789
,,00552.777120,D6,389,0.56408,13,29.923077,22.286463
,,00558.473920,C2,403,0.43528,16,25.1875,15.804346
,,00558.619440,D4,51,0.41184,11,4.636364,5.48175
,,00560.158480,D1,550,0.6408,16,34.375,16.818424
,,00561.647680,A4,560,0.42472,16,35,16.815172
,,00561.609120,A6,124,0.34464,16,7.75,5.868347
,,00565.476480,B4,67,0.32968,11,6.090909,3.553604
,,00565.519200,C3,124,0.40072,11,11.272727,8.258229
,,00565.674160,C4,180,0.49216,14,12.857143,10.329272
,,00567.592640,D2,186,0.25408,14,13.285714,7.401048
,,00571.378480,C6,77,0.34552,12,6.416667,5.024247
,,00576.158960,B6,524,0.52512,16,32.75,14.170833
,,00577.844320,D2,131,0.27224,14,9.357143,6.965293
,,00577.799120,D4,88,0.3716,13,6.769231,7.169957
,,00578.010960,A3,480,0.4552,16,30,14.684175
,,00580.781120,D2,59,0.22384,12,4.916667,3.707163
,,00581.485440,C6,518,0.4932,16,32.375,14.982802
,,00581.745840,A3,82,1.17336,6,13.666667,13.399834
,,00583.697280,A6,176,0.2544,16,11,7.28869
,,00583.818880,D4,702,0.74144,16,43.875,18.787878
,,00584.960080,A3,88,0.50296,11,8,6.43852
,,00587.612000,C2,396,0.43744,16,24.75,16.645195
,,00585.092000,D4,124,3.05144,10,12.4,11.217843
,,00588.351120,A3,72,0.70008,9,8,10.68748
,,00590.266080,D2,115,0.2608,14,8.214286,5.621115
,,00589.560640,D6,395,0.98224,15,26.333333,23.764585
,,00591.142560,A3,70,0.5196,9,7.777778,8.953928
,,00592.007760,D3,298,0.25704,16,18.625,13.738063
,,00592.940720,A6,133,0.52312,16,8.3125,6.120853
,,00593.483840,A5,607,0.4904,16,37.9375,16.86516
,,00593.690640,A3,64,0.49216,10,6.4,7.405404
,,00597.866080,A3,69,0.42448,11,6.272727,7.374291

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#00FF00,#FFAF64,#FF9633,#FF7E05,#FF2F2F,#5353FF,#00FF00,#FFAF64,#FF9633,#FF7E05,#FF2F2F,#5353FF,#00FF00,#FFAF64,#FF9633,#FF7E05,#FF2F2F,#5353FF,#00FF00,#FFAF64,#FF9633,#FF7E05,#FF2F2F,#5353FF
Control,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Treatment,,Venom,Venom,Venom,Venom,PBS,,Venom,Venom,Venom,Venom,PBS,,Venom,Venom,Venom,Venom,PBS,,Venom,Venom,Venom,Venom,PBS
Concentration,,0.3 µg/well,1.5 µg/well,3 µg/ well,7.5 µg/ well,25 µl,,0.3 µg/well,1.5 µg/well,3 µg/ well,7.5 µg/ well,25 µl,,0.3 µg/well,1.5 µg/well,3 µg/ well,7.5 µg/ well,25 µl,,0.3 µg/well,1.5 µg/well,3 µg/ well,7.5 µg/ well,25 µl
Additional Information,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well ,500 ul/ well 
