Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00038.861840,A6_43,6,0.12856
,,00038.801680,B2_44,32,0.4072
,,00039.176400,D4_21,9,0.25632
,,00039.303600,D5_22,10,0.1708
,,00039.929040,A1_41,6,0.19736
,,00039.786320,A2_22,5,0.15792
,,00040.962080,D4_11,5,0.28424
,,00043.079920,D2_41,21,0.2008
,,00043.117120,D2_21,5,0.09208
,,00043.075280,D2_31,24,0.164
,,00043.087760,D2_11,23,0.15736
,,00043.060080,D2_12,21,0.16112
,,00043.100480,D2_22,29,0.14488
,,00043.056480,D2_23,39,0.20352
,,00043.104320,D2_14,12,0.10792
,,00043.078720,D2_33,11,0.13048
,,00043.053520,D2_24,18,0.18416
,,00043.025200,D2_34,18,0.20104
,,00043.077040,D2_43,46,0.26896
,,00043.032560,D2_44,47,0.2036
,,00043.051040,D2_42,41,0.21208
,,00043.569520,B2_31,5,0.15744
,,00043.891440,D6_43,15,0.21688
,,00043.896240,D6_22,7,0.15208
,,00044.476320,C1_31,14,0.17104
,,00044.458080,C1_13,12,0.19168
,,00044.455600,C1_22,31,0.19232
,,00044.469360,C1_23,21,0.1784
,,00044.460720,C1_14,9,0.16888
,,00044.529440,C1_32,7,0.11952
,,00044.466160,C1_43,12,0.14088
,,00044.404160,C1_41,38,0.24832
,,00044.339760,C1_11,54,0.31824
,,00044.401920,C1_12,42,0.2608
,,00044.504720,C1_33,12,0.16528
,,00044.462640,C1_24,35,0.32008
,,00044.458720,C1_34,39,0.23936
,,00044.479920,C1_44,25,0.23696
,,00044.496160,C1_42,29,0.1964
,,00045.515920,D2_44,9,0.3324
,,00046.224880,C6_14,13,0.09584
,,00046.219920,C6_13,21,0.17552
,,00046.195440,C6_24,13,0.17816
,,00046.211680,C6_43,21,0.16528
,,00046.233200,C6_12,27,0.2092
,,00046.216320,C6_11,31,0.2744
,,00046.218960,C6_33,37,0.21072
,,00046.234160,C6_23,19,0.18944
,,00046.227440,C6_34,23,0.2636
,,00046.213600,C6_42,52,0.22408
,,00046.192080,C6_32,56,0.32968
,,00046.209600,C6_44,41,0.20136
,,00046.129600,C6_21,46,0.29496
,,00046.131600,C6_41,60,0.4808
,,00046.226160,C6_31,35,0.2296
,,00046.166080,C6_22,25,0.38608
,,00046.437200,D6_31,12,0.21208
,,00046.605440,B2_31,7,0.27168
,,00046.632960,B2_12,20,0.1164
,,00046.606320,B2_14,8,0.12528
,,00046.653440,B2_44,9,0.2104
,,00046.542560,D6_14,13,0.18952
