Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00454.170880,D3_11,22,0.168
,,00454.187920,D3_13,14,0.15392
,,00454.226640,D3_22,5,0.0736
,,00454.156880,D3_23,14,0.20304
,,00454.244560,D3_14,7,0.07944
,,00454.264080,D3_33,8,0.05304
,,00454.233600,D3_43,19,0.12936
,,00454.179520,D3_44,18,0.19016
,,00454.153120,D3_12,37,0.25752
,,00454.251680,D3_34,20,0.16912
,,00454.238640,D3_32,20,0.18592
,,00454.161200,D3_42,32,0.28456
,,00454.336000,D4_42,5,0.13232
,,00454.653440,A3_31,5,0.1428
,,00454.703920,A3_43,5,0.16544
,,00454.761280,D4_14,6,0.13112
,,00454.613280,D4_11,8,0.2524
,,00454.713680,D4_33,13,0.15056
,,00454.808480,D4_24,6,0.02856
,,00454.649200,D4_42,22,0.24256
,,00454.760720,D4_44,9,0.0924
,,00454.661680,D4_21,21,0.2372
,,00454.724480,D4_22,9,0.1424
,,00454.613360,A6_12,13,0.24456
,,00454.679600,A6_13,7,0.11376
,,00454.706880,A6_11,6,0.13248
,,00454.815440,A3_13,6,0.14224
,,00454.672640,A3_32,7,0.43968
,,00454.599360,D4_32,33,0.30952
,,00454.740720,D4_41,15,0.17264
,,00454.697840,D4_31,17,0.20568
,,00454.756880,A6_43,7,0.15544
,,00455.226720,C4_14,7,0.08872
,,00455.207920,C4_13,12,0.14704
,,00455.178640,C4_33,34,0.2044
,,00455.198800,C4_24,37,0.17528
,,00455.475680,C3_11,11,0.17072
,,00455.508240,C3_43,8,0.11728
,,00455.151120,C4_12,46,0.30032
,,00455.150320,C4_11,69,0.35352
,,00455.166800,C4_23,32,0.26424
,,00455.240560,C4_34,26,0.16624
,,00455.207440,C4_42,15,0.2068
,,00455.218000,C4_32,28,0.1916
,,00455.174720,C4_44,38,0.3324
,,00455.152000,C4_21,61,0.24896
,,00455.137280,C4_41,58,0.27976
,,00455.205840,C4_31,32,0.2368
,,00455.160880,C4_22,39,0.27984
,,00455.315840,C3_41,54,0.434
,,00455.326160,C3_21,81,0.53592
,,00455.438080,C3_12,38,0.29424
,,00455.342160,C3_22,22,0.36992
,,00455.356400,C3_23,36,0.38728
,,00455.467760,C3_14,28,0.22648
,,00455.369200,C3_34,51,0.40192
,,00455.489520,C3_32,33,0.25288
,,00455.324640,C3_42,85,0.6932
,,00455.571200,A3_41,32,0.362
,,00455.652800,A3_11,68,0.4532
,,00455.754880,A3_12,33,0.23896
,,00455.663520,A3_13,62,0.39936
,,00455.752960,A3_22,28,0.21408
,,00455.702960,A3_23,58,0.41728
,,00455.760560,A3_14,10,0.18864
,,00455.780320,A3_33,9,0.12864
,,00455.756480,A3_24,31,0.24104
,,00455.718400,A3_34,60,0.32824
,,00455.607200,A3_44,46,0.45784
,,00455.066480,A3_42,65,0.95328
,,00454.898720,A3_31,86,1.37864
,,00455.212640,A3_32,66,0.96408
,,00455.518880,A3_43,76,0.70256
,,00456.106800,D4_11,5,0.22944
,,00456.435520,C3_42,6,0.1948
,,00456.452240,C4_11,9,0.37848
,,00456.898960,A3_44,9,0.30648
,,00457.206720,A3_43,9,0.18888
,,00457.038800,C4_11,5,0.1728
,,00457.147360,A3_31,14,0.35784
,,00456.579920,A3_32,17,0.8204
,,00457.713920,A3_32,9,0.44088
,,00457.945200,C4_31,12,0.31136
,,00458.326720,C3_42,5,0.2068
,,00458.225840,A3_31,10,0.32528
,,00457.585200,C4_11,24,0.94056
,,00458.294400,C3_21,9,0.462
,,00458.311440,A3_32,8,0.37632
,,00458.072960,A3_44,35,0.76752
,,00459.187120,A3_44,5,0.17904
,,00459.212400,A5_14,16,0.17104
,,00459.271040,A5_23,8,0.11488
,,00459.242640,A5_34,7,0.08352
,,00459.188000,A5_43,29,0.14096
,,00459.310640,A5_32,5,0.07216
,,00459.207840,A5_31,8,0.17592
,,00459.293760,C3_22,7,0.2208
,,00459.215840,A5_12,12,0.19648
,,00459.240800,A5_13,19,0.2
,,00459.286560,A5_11,8,0.17848
,,00459.279040,A5_24,10,0.17936
,,00459.198880,A5_41,15,0.20528
,,00459.430800,C3_42,13,0.35864
,,00459.748880,C4_11,7,0.3364
,,00459.735760,C4_31,7,0.23616
,,00459.998960,A3_11,12,0.3652
,,00460.605280,A3_11,6,0.17352
,,00461.103920,C1_14,6,0.03576
,,00460.978400,C1_41,44,0.338
,,00461.097440,C1_31,18,0.15544
,,00460.797520,C1_11,62,0.56016
,,00460.942400,C1_12,44,0.36168
,,00461.046640,C1_13,11,0.14912
,,00461.057200,C1_22,35,0.2248
,,00461.085680,C1_23,28,0.20264
,,00461.097840,C1_33,12,0.1536
,,00461.010080,C1_24,29,0.26048
,,00461.077040,C1_34,39,0.21024
,,00461.092720,C1_32,21,0.17008
,,00461.104960,C1_43,14,0.16496
,,00460.955360,C1_44,31,0.31
,,00461.014080,C1_42,40,0.28968
,,00461.182720,A3_11,10,0.29704
,,00461.004080,D5_22,16,0.81992
,,00461.709600,A6_14,12,0.1552
,,00461.657840,A6_11,43,0.2292
,,00461.687920,A6_33,36,0.20768
,,00461.658480,A6_34,15,0.17064
,,00461.561120,A6_24,49,0.32088
,,00461.575520,A6_43,38,0.28176
,,00461.675360,A6_32,27,0.18648
,,00461.631600,A6_44,42,0.22304
,,00461.650560,A6_21,24,0.19696
,,00461.669200,A6_41,52,0.22976
,,00461.630720,A6_31,28,0.22728
,,00461.646320,A6_12,53,0.2896
,,00461.665200,A6_13,36,0.26352
,,00461.597600,A6_23,20,0.30248
,,00461.602240,A6_42,49,0.29936
,,00461.637520,A6_22,34,0.2736
,,00462.297840,A5_14,11,0.1932
,,00462.404480,A5_12,9,0.08024
,,00462.310480,A5_13,16,0.21856
,,00462.435680,A5_11,6,0.0852
,,00462.363200,A5_34,7,0.12104
,,00462.386800,A5_24,6,0.20776
,,00462.287440,A5_43,22,0.18304
,,00462.314800,A5_41,10,0.1972
,,00462.358400,C6_14,8,0.09952
,,00462.345680,C6_12,18,0.0996
,,00462.330640,C6_13,22,0.14328
,,00462.322880,C6_11,34,0.24408
,,00462.315680,C6_33,34,0.1824
,,00462.323920,C6_23,28,0.1656
,,00462.337760,C6_34,25,0.15616
,,00462.303280,C6_24,11,0.15096
,,00462.267360,C6_42,43,0.22808
,,00462.225120,C6_43,24,0.23976
,,00462.304320,C6_32,48,0.27472
,,00462.320560,C6_44,37,0.19728
,,00462.226480,C6_21,55,0.30168
,,00462.245200,C6_41,63,0.36288
,,00462.216000,C6_31,39,0.2876
,,00462.305840,C6_22,25,0.26
,,00462.425760,A3_11,7,0.22976
,,00462.782000,C1_11,8,0.38776
,,00463.067280,D4_42,9,0.2288
,,00462.954080,D4_32,18,0.34736
,,00463.091440,D4_21,5,0.21192
,,00463.163600,D4_31,5,0.09208
,,00463.341680,A6_43,5,0.08528
,,00463.441440,C6_41,5,0.2252
,,00464.039600,A4_43,5,0.05072
,,00464.093760,A4_11,7,0.08224
,,00465.413520,A3_32,20,0.37296
,,00465.640960,A3_43,7,0.1524
,,00465.839840,C6_22,8,0.26728
,,00467.587520,D1_41,44,0.19672
,,00467.581440,D1_21,53,0.2636
,,00467.610400,D1_31,35,0.19544
,,00467.581280,D1_11,46,0.31376
,,00467.575360,D1_12,41,0.31448
,,00467.636160,D1_13,26,0.1604
,,00467.645680,D1_22,32,0.16312
,,00467.581440,D1_23,36,0.26296
,,00467.589040,D1_14,23,0.20056
,,00467.626400,D1_33,15,0.12792
,,00467.652080,D1_24,16,0.1352
,,00467.600960,D1_34,38,0.29816
,,00467.631520,D1_32,26,0.14024
,,00467.623040,D1_43,21,0.12536
,,00467.642960,D1_44,29,0.136
,,00467.669680,D1_42,5,0.05248
,,00468.871360,D1_12,8,0.39464
,,00470.072720,A6_11,6,0.15776
,,00469.830400,D1_12,24,0.60312
,,00470.360560,A6_12,15,0.20104
,,00470.348400,A6_13,7,0.17728
,,00470.378880,A6_43,8,0.25872
,,00470.374640,A6_22,5,0.09304
,,00471.420080,A1_41,62,0.40768
,,00471.432240,A1_21,62,0.3568
,,00471.571440,A1_31,9,0.08832
,,00471.496320,A1_11,13,0.21968
,,00471.472880,A1_12,40,0.28808
,,00471.558160,A1_13,13,0.1244
,,00471.552800,A1_22,15,0.19088
,,00471.554160,A1_23,19,0.12368
,,00471.497040,A1_14,41,0.2512
,,00471.549600,A1_33,47,0.22064
,,00471.475600,A1_24,37,0.27016
,,00471.492000,A1_32,25,0.27216
,,00471.470160,A1_43,24,0.3012
,,00471.591280,A1_44,6,0.06344
,,00471.477280,A1_42,44,0.2804
,,00473.059120,D3_41,5,0.06032
,,00472.977120,D3_42,5,0.10152
,,00473.553440,A1_12,9,0.38144
,,00474.642480,C6_42,9,0.22984
,,00474.733600,C6_43,5,0.07832
,,00474.750480,C6_32,5,0.12144
,,00474.729200,C6_21,10,0.1464
,,00474.653440,C6_41,18,0.21376
,,00474.722560,C6_31,5,0.11904
,,00474.798880,C6_11,7,0.15472
,,00474.682160,C6_22,10,0.238
,,00475.432720,D4_14,18,0.12664
,,00475.349680,D4_12,41,0.28056
,,00475.421600,D4_13,21,0.15752
,,00475.471440,D4_23,24,0.17136
,,00475.470800,D4_34,21,0.09536
,,00475.314400,D4_42,53,0.29928
,,00475.482560,D4_43,13,0.10336
,,00475.350800,D4_21,46,0.28944
,,00475.380160,D4_41,43,0.26192
,,00475.234080,D4_11,57,0.4468
,,00475.396640,D4_33,51,0.26144
,,00475.431600,D4_24,44,0.2188
,,00475.386880,D4_44,37,0.28904
,,00475.381440,D4_31,66,0.34368
,,00475.428320,D4_22,53,0.22808
,,00475.283840,D4_32,79,0.63032
,,00475.852720,D5_22,11,0.55112
,,00476.912880,C1_34,6,0.214
,,00477.087840,A6_12,9,0.22752
,,00477.523760,A5_12,5,0.02448
,,00477.646640,B4_11,6,0.22928
,,00477.654640,B4_23,10,0.2116
,,00477.712240,B4_44,7,0.16944
,,00477.557200,A5_14,19,0.20104
,,00477.652160,A5_12,12,0.12144
,,00477.558720,A5_13,27,0.26288
,,00477.670320,A5_11,12,0.08304
,,00477.696720,A5_23,13,0.08192
,,00477.617040,A5_34,5,0.09072
,,00477.687200,A5_24,16,0.18088
,,00477.680240,A5_42,11,0.09224
,,00477.604560,A5_43,23,0.10112
,,00477.642160,A5_32,13,0.14584
,,00477.658560,A5_44,6,0.10344
,,00477.629440,A5_21,5,0.10888
,,00477.596080,A5_41,21,0.1684
,,00477.617120,A5_31,8,0.12944
,,00477.718160,A5_22,5,0.01968
,,00477.880320,B4_42,5,0.23888
,,00476.944240,D4_11,48,1.09184
,,00477.663840,D4_32,9,0.45128
,,00478.466000,C2_41,13,0.62184
,,00478.228480,D4_32,19,0.8716
,,00478.896960,D6_14,13,0.19984
,,00478.834720,D6_12,38,0.28704
,,00478.872480,D6_33,34,0.2184
,,00478.865280,D6_24,24,0.2372
,,00478.934960,D6_44,7,0.09688
,,00478.867840,D6_41,24,0.22232
,,00478.827600,D6_31,10,0.12704
,,00479.281600,D4_32,5,0.08872
,,00478.695920,D4_21,15,0.57768
,,00479.049520,A6_12,22,0.21024
,,00479.069680,A6_13,9,0.11736
,,00478.996000,A6_11,14,0.1896
,,00479.067360,A6_33,13,0.09376
,,00478.918080,A6_24,33,0.26728
,,00478.996880,A6_42,18,0.1868
,,00478.933360,A6_43,25,0.2684
,,00478.974800,A6_44,21,0.23576
,,00478.987520,A6_21,11,0.1988
,,00478.968880,A6_41,24,0.23256
,,00479.089360,A6_31,13,0.10536
,,00478.982000,A6_22,15,0.2548
,,00478.869360,D6_23,48,0.492
,,00478.827760,D6_43,71,0.34472
,,00478.841920,D6_22,51,0.31392
,,00478.854240,D6_21,65,0.55024
,,00479.780720,D4_11,6,0.35488
,,00479.830000,D6_43,6,0.17048
,,00480.213680,D6_12,10,0.26168
,,00480.516160,D1_12,6,0.13568
,,00480.565120,D3_41,10,0.19904
,,00480.631520,D3_11,5,0.10896
,,00481.068400,D6_12,11,0.30544
,,00481.755200,D4_32,11,0.30512
,,00481.733280,D6_23,6,0.36648
,,00483.801840,D6_43,12,0.40696
,,00484.542560,D6_43,5,0.11408
,,00485.698880,A6_12,12,0.15496
,,00485.698320,A6_13,7,0.13648
,,00485.765520,A6_11,5,0.07504
,,00485.748560,A6_44,6,0.13328
,,00485.747520,A6_41,5,0.13416
,,00485.780160,A6_22,5,0.06792
,,00485.819200,A6_42,6,0.1292
,,00485.792720,A6_43,11,0.14872
,,00487.250800,D3_41,14,0.10768
,,00487.269040,D3_11,6,0.07704
,,00487.281520,D3_13,6,0.05856
,,00487.249360,D3_42,7,0.11072
,,00489.293040,B3_41,43,0.25584
,,00489.401600,B3_21,8,0.05192
,,00489.281680,B3_31,15,0.20064
,,00489.375200,B3_11,6,0.05816
,,00489.271840,B3_12,38,0.28824
,,00489.345680,B3_22,10,0.11424
,,00489.384560,B3_23,29,0.18408
,,00489.401680,B3_14,7,0.0644
,,00489.317840,B3_33,11,0.19808
,,00489.361280,B3_34,39,0.21408
,,00489.260800,B3_32,46,0.26936
,,00489.314800,B3_43,12,0.1992
,,00489.285920,B3_44,16,0.2688
,,00489.400080,B3_42,12,0.12664
,,00489.940640,D2_41,18,0.19488
,,00489.907520,D2_31,28,0.176
,,00489.910880,D2_11,25,0.14784
,,00489.870960,D2_12,20,0.19152
,,00489.925200,D2_22,31,0.13088
,,00489.885920,D2_23,42,0.19888
,,00489.929280,D2_14,15,0.10232
,,00489.947920,D2_33,6,0.05832
,,00489.865360,D2_24,26,0.21664
,,00489.859920,D2_34,18,0.20416
,,00489.835840,D2_44,54,0.26296
,,00489.895920,D2_42,41,0.18216
,,00489.889120,D2_43,59,0.38104
,,00491.197760,D2_12,6,0.2776
,,00490.997120,D2_43,11,0.65632
,,00492.000160,D6_22,8,0.12712
,,00492.262240,D1_41,10,0.10232
,,00492.283680,A6_14,5,0.08576
,,00492.267120,A6_11,19,0.11184
,,00492.280560,A6_33,13,0.05128
,,00492.199440,A6_23,6,0.0964
,,00492.167840,A6_24,38,0.2132
,,00492.309200,A6_32,8,0.07072
,,00492.204880,A6_44,21,0.19384
,,00492.240000,A6_21,11,0.114
,,00492.240080,A6_41,27,0.14592
,,00492.268800,A6_31,8,0.07056
,,00492.190720,A6_22,12,0.18984
,,00492.012960,D6_43,14,0.17712
,,00492.241920,D1_21,7,0.1752
,,00492.238960,D1_11,7,0.16944
,,00492.264800,D1_12,9,0.16
,,00492.216320,A5_14,18,0.28344
,,00492.324320,A5_12,15,0.18832
,,00492.391040,A5_13,23,0.14672
,,00492.426880,A5_11,14,0.08616
,,00492.451840,A5_23,6,0.03112
,,00492.270640,A5_34,9,0.22768
,,00492.436880,A5_24,10,0.17704
,,00492.258400,A5_43,49,0.22672
,,00492.305120,A5_44,7,0.18112
,,00492.334080,A5_41,20,0.1844
,,00492.334720,A5_31,8,0.1724
,,00492.200480,A6_12,32,0.29776
,,00492.275920,A6_13,14,0.13592
,,00492.210560,A6_42,24,0.19472
,,00492.200880,A6_43,23,0.2048
,,00492.901920,D2_11,5,0.22216
,,00493.217520,D2_12,7,0.22048
,,00493.085280,D2_44,17,0.33864
,,00493.440480,D3_41,10,0.166
,,00494.398640,D4_13,6,0.11544
,,00494.376640,D4_11,6,0.20528
,,00494.371200,D4_42,10,0.17576
,,00494.331120,D4_32,24,0.27552
,,00494.389360,D4_21,10,0.21776
,,00494.318560,D4_41,8,0.18448
,,00494.410480,D4_31,10,0.21184
,,00496.256240,B3_12,6,0.10488
,,00496.059600,B4_14,24,0.2764
,,00496.092480,B4_13,22,0.17936
,,00495.902640,B4_11,50,0.46648
,,00496.045600,B4_23,34,0.22864
,,00496.167760,B4_34,7,0.15736
,,00496.071520,B4_24,33,0.26048
,,00496.091280,B4_42,13,0.21376
,,00496.119760,B4_43,17,0.14
,,00496.086480,B4_32,40,0.20992
,,00495.902080,B4_21,18,0.31512
,,00495.985920,B4_41,54,0.3468
,,00496.004720,B4_31,20,0.3084
,,00496.037280,B4_22,63,0.31616
,,00496.044080,D4_12,5,0.18768
,,00496.118800,D4_13,7,0.11528
,,00496.081120,D4_11,9,0.12096
,,00496.088720,D4_33,7,0.1576
,,00496.075280,D4_24,5,0.14216
,,00496.082080,D4_42,15,0.14176
,,00496.049280,D4_32,26,0.17072
,,00496.046400,D4_21,16,0.17632
,,00496.108960,D4_41,13,0.15384
,,00496.046160,D4_31,14,0.18352
,,00496.137680,D4_22,7,0.11128
,,00496.133680,B4_33,25,0.26912
,,00496.098480,B4_44,48,0.31776
,,00496.215680,B3_32,27,0.47176
,,00496.870560,B3_32,5,0.08864
,,00496.992000,C6_33,6,0.11184
,,00496.884000,C6_42,12,0.17424
,,00496.957520,C6_43,6,0.12408
,,00496.925600,C6_21,6,0.14376
,,00496.900640,C6_22,16,0.1448
,,00497.316480,D2_44,7,0.0736
,,00496.972000,C6_32,11,0.19808
,,00496.874800,C6_41,24,0.27752
,,00497.476640,D1_12,5,0.12504
,,00498.154480,D5_14,17,0.12112
,,00498.133040,D5_12,14,0.22464
,,00498.093280,D5_13,46,0.28872
,,00498.147840,D5_23,13,0.15936
,,00498.140800,D5_34,19,0.11912
,,00498.081840,D5_24,58,0.2772
,,00498.027360,D5_42,56,0.33016
,,00498.133680,D5_43,47,0.24568
,,00498.137760,D5_32,12,0.12472
,,00498.136720,D5_41,6,0.08528
,,00498.436480,C3_41,19,0.17928
,,00498.456640,C3_11,5,0.10272
,,00498.473280,C3_12,10,0.08688
,,00498.455680,C3_23,7,0.15168
,,00498.485760,C3_14,7,0.09816
,,00498.435520,C3_34,11,0.1456
,,00498.103840,D5_44,52,0.38352
,,00498.127120,D5_22,36,0.27536
,,00498.374560,C3_21,42,0.2884
,,00498.370640,C3_22,21,0.32496
,,00498.128960,C3_42,42,0.5656
,,00497.290000,B4_11,38,1.43456
,,00498.098320,D5_33,64,0.55176
,,00499.185040,C3_22,6,0.3844
,,00499.371520,D5_43,6,0.1192
,,00499.683920,D5_42,7,0.24056
,,00499.674240,D5_43,10,0.38904
,,00500.504640,D5_42,5,0.13344
,,00500.635520,B3_41,9,0.13792
,,00500.562400,B3_12,6,0.21656
,,00500.554800,B3_32,21,0.15136
,,00500.628640,C4_13,6,0.12544
,,00500.503760,C4_24,6,0.2516
,,00500.524240,C4_22,13,0.32944
,,00500.639760,D5_14,7,0.14512
,,00500.621200,C4_12,20,0.47648
,,00500.466160,C4_11,45,0.62528
,,00500.901040,C4_24,5,0.11848
,,00500.689760,C4_44,13,0.4288
,,00500.627760,C4_21,16,0.48776
,,00500.686960,C4_41,8,0.2288
,,00501.249440,C4_12,8,0.38768
,,00501.305440,C4_44,7,0.26272
,,00501.373360,D5_44,5,0.24136
,,00501.267040,C4_21,14,0.3948
,,00501.920800,C4_11,5,0.13296
,,00501.883600,D5_42,5,0.05904
,,00502.309600,C3_41,13,0.23056
,,00502.176640,C3_21,26,0.35224
,,00502.436560,C3_11,5,0.09344
,,00502.414960,C3_12,8,0.10384
,,00502.347680,C3_23,5,0.16608
,,00502.327200,C3_34,8,0.2012
,,00502.360240,C3_42,31,0.2108
,,00502.437920,C4_11,7,0.1872
,,00502.438720,C4_21,7,0.19256
,,00502.499680,D2_44,6,0.25224
,,00502.295760,C3_22,15,0.41496
,,00504.063920,D4_42,11,0.21232
,,00504.119520,D4_21,8,0.15912
,,00504.063920,D4_41,7,0.21008
,,00504.002000,D4_32,25,0.45504
,,00505.335920,C1_11,52,0.29808
,,00505.461600,C1_13,16,0.10704
,,00505.507120,C1_23,22,0.13504
,,00505.523920,C1_14,5,0.12504
,,00505.519040,C1_32,19,0.1172
,,00505.523040,C1_43,11,0.08328
,,00505.325920,B3_12,6,0.14368
,,00505.318880,B3_32,22,0.19896
,,00505.438400,C1_41,36,0.24256
,,00505.493760,C1_31,18,0.22816
,,00505.482720,C1_12,39,0.20616
,,00505.492960,C1_22,31,0.21616
,,00505.526480,C1_33,7,0.1932
,,00505.473680,C1_24,31,0.20368
,,00505.421040,C1_34,33,0.2504
,,00505.427280,C1_44,27,0.25688
,,00505.368480,C1_42,28,0.34296
,,00505.468000,D2_24,7,0.2312
,,00505.528640,D2_44,8,0.12352
,,00506.559440,A5_14,20,0.1832
,,00506.523040,A5_12,15,0.2724
,,00506.556000,A5_13,26,0.23832
,,00506.635040,A5_11,11,0.13464
,,00506.601280,A5_23,8,0.15416
,,00506.565680,A5_34,11,0.14192
,,00506.683280,A5_24,13,0.2004
,,00506.464240,A5_43,48,0.252
,,00506.592720,A5_32,10,0.14944
,,00506.617520,A5_21,5,0.08216
,,00506.478720,A5_41,21,0.26648
,,00506.583920,A5_31,7,0.17264
,,00507.068160,D5_33,5,0.11288
,,00507.067440,D5_24,12,0.24136
,,00507.075360,D5_42,13,0.15152
,,00507.057440,D5_43,6,0.16976
,,00507.146160,D5_22,5,0.0856
,,00510.085600,A3_41,34,0.17984
,,00510.061520,A3_11,56,0.25664
,,00510.122320,A3_12,33,0.16064
,,00510.099600,A3_13,49,0.24704
,,00510.124720,A3_22,24,0.16824
,,00510.092560,A3_23,49,0.2668
,,00510.142480,A3_14,9,0.1088
,,00510.112400,A3_33,13,0.09656
,,00510.105920,A3_24,30,0.17928
,,00510.116000,A3_34,46,0.19456
,,00510.032480,A3_44,31,0.26192
,,00510.023600,A3_43,58,0.36912
,,00510.093760,A3_42,47,0.19056
,,00510.460000,B1_41,6,0.09176
,,00510.247120,B1_22,7,0.20624
,,00510.292640,B1_43,17,0.3348
,,00510.222640,B1_44,36,0.40592
,,00510.017680,A3_31,55,0.4852
,,00510.349040,B1_21,13,0.3172
,,00509.916800,A3_32,60,0.8724
,,00511.024000,A5_14,6,0.25288
,,00511.160640,A6_14,17,0.23728
,,00511.166880,A6_13,40,0.18416
,,00511.167040,A6_33,36,0.2052
,,00511.088160,A6_34,16,0.25256
,,00511.020880,A6_24,62,0.34432
,,00511.081600,A6_42,49,0.26784
,,00511.127920,A6_32,33,0.23984
,,00511.107120,A6_44,56,0.27656
,,00511.069040,A6_21,23,0.2816
,,00511.138800,A6_41,55,0.25032
,,00511.078720,A6_31,33,0.2712
,,00511.146160,A3_31,7,0.30344
,,00511.105360,A6_12,64,0.37552
,,00511.180560,A6_11,49,0.22624
,,00511.080560,A6_23,28,0.34272
,,00511.068480,A6_43,50,0.3588
,,00511.144560,A6_22,35,0.26424
,,00511.925200,D3_11,26,0.18552
,,00511.963040,D3_13,18,0.16656
,,00512.035680,D3_33,7,0.05992
,,00511.976080,D6_41,22,0.15472
,,00511.981600,D6_31,8,0.13112
,,00511.953040,D3_41,48,0.24504
,,00511.932080,D3_21,28,0.24064
,,00511.915440,D3_31,22,0.24944
,,00511.984000,D3_12,44,0.22032
,,00511.937920,D3_23,16,0.25112
,,00511.862880,D3_34,29,0.34472
,,00512.032720,D3_32,23,0.1668
,,00511.907760,D3_43,19,0.24344
,,00512.003760,D3_44,17,0.15264
,,00511.923600,D3_42,20,0.31272
,,00511.964560,A6_14,6,0.33928
,,00511.996800,D6_14,12,0.18968
,,00511.979920,D6_12,39,0.21224
,,00511.973360,D6_33,32,0.19712
,,00511.969600,D6_23,45,0.3444
,,00511.954720,D6_24,22,0.2356
,,00511.854640,D6_43,66,0.41056
,,00511.990480,D6_22,47,0.27736
,,00512.303120,A3_32,7,0.21832
,,00511.877440,D6_21,61,0.64568
,,00512.618720,A6_12,6,0.25168
,,00512.624800,A3_31,19,0.4824
,,00512.808880,A3_34,8,0.30344
,,00512.640560,A3_32,10,0.4488
,,00512.800480,A3_43,5,0.26312
,,00513.023200,A6_12,5,0.17344
,,00513.381440,D4_42,7,0.13688
,,00513.297920,D4_32,16,0.3368
,,00513.229760,D6_12,8,0.28776
,,00513.562080,A3_32,7,0.36008
,,00514.024720,A3_32,5,0.14824
,,00514.200400,A3_44,6,0.06936
,,00514.300400,A3_43,7,0.3284
,,00514.171680,D6_12,14,0.28368
,,00514.411360,A6_34,7,0.34192
,,00515.126560,A3_32,6,0.22544
,,00514.797360,D6_23,9,0.48584
,,00515.714480,A6_14,5,0.3004
,,00516.751840,A3_32,5,0.13904
,,00516.837920,D2_44,8,0.13592
,,00516.819120,A3_11,5,0.15448
,,00517.597360,D4_14,25,0.16928
,,00517.543280,D4_12,33,0.22088
,,00517.567840,D4_13,21,0.22744
,,00517.494640,D4_11,53,0.29336
,,00517.574880,D4_33,50,0.23808
,,00517.625280,D4_23,22,0.17864
,,00517.599600,D4_34,25,0.15416
,,00517.615520,D4_24,32,0.1784
,,00517.562080,D4_42,50,0.22728
,,00517.634400,D4_43,21,0.14112
,,00517.616480,D4_44,27,0.18632
,,00517.506480,D4_21,58,0.28944
,,00517.571040,D4_31,63,0.24816
,,00517.575600,D4_22,48,0.20376
,,00517.507600,D4_32,80,0.52216
,,00517.571920,D4_41,48,0.43736
,,00518.293840,A6_12,10,0.12536
,,00518.365360,A6_11,5,0.15104
,,00519.800160,D4_11,6,0.2576
,,00520.170480,D4_11,5,0.24944
,,00520.379920,D4_32,5,0.2072
,,00520.705120,D1_31,13,0.18432
,,00520.774640,D1_13,9,0.08384
,,00520.546000,D1_14,12,0.34048
,,00520.776400,D1_34,10,0.10664
,,00520.791280,D1_32,9,0.09816
,,00520.777360,D1_44,12,0.11784
,,00520.655520,D1_41,30,0.25776
,,00520.627520,D1_21,34,0.30504
,,00520.580000,D1_11,30,0.32792
,,00520.504720,D1_12,41,0.45128
,,00520.779920,D1_22,8,0.12688
,,00520.728000,D1_23,25,0.27336
,,00520.746240,D1_43,10,0.16336
,,00520.688480,D4_32,6,0.24488
,,00520.925760,D4_21,8,0.23376
,,00522.280720,D5_14,14,0.1016
,,00522.292000,D5_23,7,0.09208
,,00522.251920,D5_34,16,0.14048
,,00522.305760,D5_12,6,0.09456
,,00522.215120,D5_13,29,0.20296
,,00522.172720,D5_24,49,0.31792
,,00522.162880,D5_42,42,0.25984
,,00522.266480,D5_43,47,0.33136
,,00522.269280,D5_32,10,0.15008
,,00522.233680,D5_44,47,0.34792
,,00522.263040,D5_22,34,0.26432
,,00522.210800,D5_33,49,0.47248
,,00523.481760,A1_11,9,0.14776
,,00523.490880,A1_23,25,0.12704
,,00523.492960,A1_34,6,0.12064
,,00523.436080,A1_32,22,0.1716
,,00523.416000,A1_41,54,0.28256
,,00523.365280,A1_21,62,0.33808
,,00523.445920,A1_12,38,0.21368
,,00523.512400,A1_13,13,0.15296
,,00523.436480,A1_22,14,0.22352
,,00523.386800,A1_14,35,0.29008
,,00523.474080,A1_33,41,0.2184
,,00523.497760,A1_24,31,0.17464
,,00523.434800,A1_43,26,0.29568
,,00523.445760,A1_42,37,0.2136
,,00523.498960,D5_42,5,0.18144
,,00523.724560,D4_11,5,0.24672
,,00523.683360,D5_43,7,0.23352
,,00524.385440,D5_44,7,0.2492
,,00525.306000,D4_42,7,0.26448
,,00525.299040,A6_12,11,0.18152
,,00525.291520,A6_13,7,0.19272
,,00525.341600,A6_11,6,0.18416
,,00525.351920,A6_43,6,0.23592
,,00525.319920,A6_44,5,0.19
,,00525.321040,A6_22,8,0.15824
,,00525.660720,A4_14,23,0.18048
,,00525.682480,A4_13,11,0.0916
,,00525.605760,A4_11,55,0.28496
,,00525.663440,A4_33,26,0.21792
,,00525.693920,A4_24,8,0.07952
,,00525.613840,A4_32,25,0.27664
,,00525.620640,A4_44,40,0.25672
,,00525.626640,A4_41,57,0.26632
,,00525.629200,A4_22,12,0.242
,,00525.328080,D4_32,17,0.3436
,,00525.672000,A4_12,40,0.31352
,,00525.634560,A4_23,55,0.28816
,,00525.665840,A4_34,31,0.29832
,,00525.608320,A4_42,54,0.2992
,,00525.582240,A4_43,73,0.35048
,,00525.617840,A4_21,45,0.31112
,,00525.590720,A4_31,30,0.32368
